"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.779271080694252E9,"2026-05-20 11:58:00.694 UTC+02:00"
"PAUSE",4.269894229201600E1,1.779271123392936E9,"2026-05-20 11:58:43.393 UTC+02:00"
"START",4.269894229201600E1,1.779271123476626E9,"2026-05-20 11:58:43.477 UTC+02:00"
"PAUSE",4.384828045871109E1,1.779271124625960E9,"2026-05-20 11:58:44.626 UTC+02:00"
