"event","experiment time","system time","system time text"
"START",0.000000000E0,1779737696.977,"2026-05-25 21:34:56.977 UTC+02:00"
"PAUSE",3.557908469E1,1779737732.557,"2026-05-25 21:35:32.557 UTC+02:00"
