"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.779269099757509E9,"2026-05-20 11:24:59.758 UTC+02:00"
"PAUSE",4.912467391649261E1,1.779269148881828E9,"2026-05-20 11:25:48.882 UTC+02:00"
