"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.778937216458000E9,"2026-05-16 15:13:36.458 UTC+02:00"
"PAUSE",9.149522375024390E0,1.778937225608000E9,"2026-05-16 15:13:45.608 UTC+02:00"
