"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.765708291E-3,-3.242639952E-1,-1.520315538E0,1.424744260E-1,1.561027046E0
1.473570830E-2,-4.345701105E-1,-2.099138140E0,4.976740658E-1,2.200661625E0
2.470670833E-2,-4.046368249E-2,-1.632154647E0,3.003638667E-1,1.660055588E0
3.467670828E-2,-1.752612991E-1,3.031027317E0,-7.139941478E-1,3.118914998E0
4.464770830E-2,-3.517820153E-1,6.940708714E0,-3.460602663E0,7.763566116E0
5.461770832E-2,-8.124268339E-1,5.669142208E0,-2.660798872E0,6.314987044E0
6.458870828E-2,-1.843583241E0,2.590634330E0,2.931109804E-1,3.193133171E0
7.455970830E-2,-2.369619811E0,-7.949719450E-1,3.171539710E0,4.038036971E0
8.452970831E-2,-2.911997010E0,-2.653820220E0,3.386132525E0,5.195034342E0
9.450070828E-2,-2.266143682E0,-2.145754190E0,2.661022235E0,4.101305593E0
1.044707083E-1,-1.730411552E0,-1.058139919E0,1.283531079E0,2.400299201E0
1.144417083E-1,-2.748641227E-1,-9.196603104E-1,5.567455035E0,5.649591219E0
1.244125833E-1,-3.662480269E-1,3.456476283E-1,3.883638191E0,3.916153150E0
1.343825833E-1,1.933135980E0,1.143079205E0,9.890454179E-1,2.453946948E0
1.443535833E-1,3.209915279E0,1.442491145E0,-2.284296656E0,4.195515226E0
1.543235833E-1,1.848708472E0,2.524471916E0,-7.320489464E0,7.961171236E0
1.642945833E-1,1.220932908E0,5.475660181E-1,-7.358347262E0,7.479022672E0
1.742645833E-1,1.390187399E-1,-1.581706625E0,-4.692381790E0,4.953742921E0
1.842355833E-1,4.232603895E-1,-1.861229261E0,1.249858718E0,2.281550029E0
1.942065833E-1,3.401646942E-1,-2.011800911E0,6.375862420E0,6.694376485E0
2.041765833E-1,4.462581830E-1,-9.780418351E-1,6.207887701E0,6.300284272E0
2.141475833E-1,-3.261358351E-1,-6.807919031E-1,2.059653647E0,2.193630631E0
2.241175833E-1,-5.964971632E-1,-2.733060517E0,-8.620707911E-1,2.927216204E0
2.340885833E-1,-1.604797389E-1,-3.037187651E0,-1.202607368E0,3.270554549E0
2.440585833E-1,2.047841650E-1,-5.995296389E-2,-2.246227189E0,2.256339402E0
2.540295833E-1,6.654013737E-1,1.162715617E0,-2.003699301E0,2.410285768E0
2.640005833E-1,4.977622491E-1,6.042021489E-1,-2.809963097E0,2.916971049E0
2.739705833E-1,7.932074015E-1,-1.542353694E0,-2.681958776E0,3.193890382E0
2.839415833E-1,6.277158496E-1,-1.138851083E0,-2.340234044E0,2.677256872E0
2.939115833E-1,4.397346272E-1,5.631704825E-1,3.215828276E-1,7.835451804E-1
3.038825833E-1,6.683804570E-1,2.028404665E0,1.957858300E-1,2.144642164E0
3.138535833E-1,9.657157584E-1,2.027409469E0,8.835318267E-1,2.413218715E0
3.238235833E-1,7.290288741E-1,1.769720628E0,-1.735699189E-1,1.921853459E0
3.337945833E-1,5.475495728E-1,1.635693675E0,1.553974158E0,2.321667508E0
3.437645833E-1,8.874457336E-1,1.233221635E0,9.812797308E-3,1.519372180E0
3.537355833E-1,2.019855743E0,8.212946481E-1,7.079972434E-1,2.292510026E0
3.637055833E-1,1.458583998E0,2.117108680E0,-3.721349305E-1,2.597710694E0
3.736765833E-1,5.097971711E-1,3.134616005E0,-3.122720137E0,4.453885013E0
3.836475833E-1,6.149481618E-1,1.761238365E0,-2.530162134E0,3.143539763E0
3.936175833E-1,5.029991982E-1,1.094735595E0,-2.702081383E0,2.958495905E0
4.035885833E-1,2.986969717E-2,9.615866008E-1,-1.980565962E0,2.201858878E0
4.135585833E-1,6.283798740E-1,7.787511840E-1,8.360582829E-1,1.303958636E0
4.235295833E-1,7.033386936E-1,2.158466621E0,6.415582556E-1,2.359080429E0
4.335005833E-1,7.701606010E-1,3.420747164E0,-1.437189474E0,3.789481772E0
4.434705833E-1,1.786487812E0,2.874690020E-1,1.533357460E0,2.371784609E0
4.534415833E-1,2.245221906E0,-2.808330262E0,3.036398277E0,4.706108240E0
4.634115833E-1,1.920067161E0,-1.808551987E0,1.703955824E0,3.140220318E0
4.733825833E-1,1.437161261E0,6.233055872E-1,1.810482738E0,2.394115722E0
4.833535833E-1,-2.802196423E-1,2.665327832E0,-7.451878738E-1,2.781690218E0
4.933235833E-1,-6.318109471E-1,3.764022285E-1,-1.119454699E0,1.339418730E0
5.032945833E-1,-8.463324255E-1,-9.591836876E-1,-9.844226092E-1,1.614125086E0
5.132645833E-1,5.275622183E-1,1.177940304E0,-2.057823468E0,2.429095034E0
5.232355833E-1,2.225731821E0,1.257522956E0,1.979342140E0,3.233116365E0
5.332055833E-1,1.680091583E0,1.547123560E-1,4.087119541E0,4.421672736E0
5.431765833E-1,2.057520583E0,-7.189452776E-1,3.584071884E0,4.194740103E0
5.531475833E-1,2.626967174E0,5.917429018E-1,1.370342935E0,3.021416217E0
5.631175833E-1,3.536540745E0,3.221469377E0,-4.363913866E0,6.475239735E0
5.730885833E-1,2.844340047E0,1.694454684E0,-7.641457749E0,8.327864283E0
5.830585833E-1,1.204473653E0,-8.156365898E-1,-6.485729263E0,6.646856693E0
5.930295833E-1,8.938911194E-1,-2.567110105E0,3.197982574E-1,2.737036088E0
6.030005833E-1,9.230902141E-1,-4.033271948E-1,5.093603110E0,5.192259721E0
6.129705833E-1,3.827064040E-1,3.023984054E0,-2.936430770E-1,3.062216518E0
6.229415833E-1,-2.683172146E-2,1.766090969E0,-2.596495287E0,3.140316071E0
6.329115833E-1,1.179109090E0,-1.332065892E-1,1.169605098E0,1.666138748E0
6.428825833E-1,2.597633447E0,-4.705690053E-1,6.939604175E0,7.424772106E0
6.528525833E-1,3.780988273E0,1.666024936E0,5.540517497E0,6.911500962E0
6.628235833E-1,2.314680104E0,4.305865341E0,-4.295946416E0,6.507947136E0
