"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.779268563568016E9,"2026-05-20 11:16:03.568 UTC+02:00"
"PAUSE",3.733210729202256E1,1.779268600899760E9,"2026-05-20 11:16:40.900 UTC+02:00"
