"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.778939464083000E9,"2026-05-16 15:51:04.083 UTC+02:00"
"PAUSE",3.000707879161928E1,1.778939494090000E9,"2026-05-16 15:51:34.090 UTC+02:00"
