"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.164663333E-1,-1.847648079E0,1.307422217E0,-6.458951354E-2,2.264360414E0
6.264363333E-1,-2.047891973E0,8.489651343E-1,-8.672648728E-2,2.218586220E0
6.364063334E-1,-2.024351813E0,1.423418404E0,-1.497721020E0,2.892626570E0
6.463773334E-1,-2.094933407E0,2.053769594E0,-1.060230591E0,3.119423734E0
6.563473333E-1,-1.956099165E0,2.449072362E0,-5.928316534E-1,3.189941810E0
6.663183334E-1,-2.620836076E0,2.581756503E0,-1.623458376E0,4.021177126E0
6.762883334E-1,-2.662536664E0,2.811092779E0,-2.052458063E0,4.382228680E0
6.862583334E-1,-2.563715796E0,2.539987795E0,-1.711156670E0,3.994024766E0
6.962293333E-1,-2.765362583E0,1.615462893E0,-1.407406096E0,3.498248489E0
7.061993334E-1,-2.406423356E0,1.123097807E0,-1.314166396E0,2.962980825E0
7.161693334E-1,-1.467355113E0,1.261851650E0,-6.323909909E-1,2.036005643E0
7.261403333E-1,-1.309798379E0,2.077450525E0,1.781342554E-1,2.462337160E0
7.361103334E-1,-1.103845557E0,2.436754033E0,-3.757496792E-1,2.701376140E0
7.460803334E-1,-8.966953710E-1,2.334004713E0,-8.078191549E-1,2.627586797E0
7.560513334E-1,-1.639660499E-1,1.939336660E0,-3.850069910E-1,1.983971252E0
7.660213333E-1,4.584399066E-1,2.357716634E0,-1.295472263E0,2.728963770E0
7.759913334E-1,3.176340201E-1,2.508702267E0,-1.002996874E0,2.720382541E0
7.859623334E-1,1.046391693E0,2.770857796E0,-4.669487017E-1,2.998437858E0
7.959323333E-1,1.202245791E0,2.857833082E0,-6.869782573E-1,3.175617104E0
8.059033334E-1,1.513314667E0,2.501870088E0,-1.047518159E0,3.105924905E0
8.158733334E-1,1.531138735E0,2.851762503E0,-9.283630139E-1,3.367312442E0
8.258433334E-1,1.744792048E0,2.133013692E0,-1.254807217E0,3.027967610E0
8.358143333E-1,2.018310032E0,1.176945401E0,-1.242924505E0,2.646438585E0
8.457843334E-1,1.718395523E0,1.486781464E0,-1.466138454E0,2.704249298E0
8.557543334E-1,1.543904814E0,2.230277739E0,-5.267224485E-1,2.763189716E0
8.657253333E-1,8.096920180E-1,2.171801197E0,2.276584178E-1,2.328980454E0
8.756953334E-1,5.843947790E-1,1.317211918E0,1.009703046E0,1.759563791E0
8.856653334E-1,1.243091443E0,2.670446777E-1,7.189514172E-1,1.460643809E0
8.956363334E-1,1.600106351E0,-7.997497049E-1,-7.190139824E-1,1.927931801E0
9.056063333E-1,1.854661522E0,-6.198060286E-1,-1.261578292E0,2.327124548E0
9.155773334E-1,2.090927334E0,-4.865845290E-1,-6.600746334E-1,2.245983112E0
9.255473334E-1,2.120479600E0,-4.639958578E-1,-7.838426471E-2,2.172065833E0
