"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.779269381051408E9,"2026-05-20 11:29:41.051 UTC+02:00"
"PAUSE",4.912687691673636E1,1.779269430178219E9,"2026-05-20 11:30:30.178 UTC+02:00"
