Time (s),Latitude (°),Longitude (°),Height (m),Velocity (m/s),Direction (°),Horizontal Accuracy (m),Vertical Accuracy (m)
0.544664927,45.08079333,9.200626667,64.34518612,0.00977972243,338.5599976,3.299999952,12.60000038
1.044664927,45.0808,9.200631667,64.74517739,0.02882444486,358.7000122,3.099999905,12.19999981
1.877664927,45.0808,9.200631667,64.74517739,0.05764888972,337.9700012,2.400000095,12.30000019
2.377664927,45.0808,9.200631667,64.74517739,0.06176666543,355.8599854,2.0,12.69999981
2.877664927,45.0808,9.200631667,64.74517739,0.1544166654,354.3699951,1.799999952,13.69999981
3.377664927,45.0808,9.200631667,64.74517739,0.0,354.3699951,1.700000048,14.5
4.377664927,45.0808,9.200631667,64.74517739,0.0,354.3699951,1.600000024,13.5
5.377664927,45.08079833,9.200691667,63.445319,0.0,354.3699951,1.5,11.80000019
6.377664927,45.08079833,9.200691667,63.445319,0.0,354.3699951,1.399999976,10.10000038
7.377664927,45.080795,9.2007,62.74534802,0.01235333364,40.84000015,1.399999976,9.600000381
8.377664927,45.080795,9.2007,62.74534802,0.02058888972,232.9499969,1.399999976,8.899999619
9.377664927,45.08079167,9.200708333,62.44537705,0.01235333364,124.3799973,1.299999952,8.600000381
10.37766493,45.08079333,9.200711667,62.44537961,0.3299369514,36.88999939,1.299999952,8.300000191
11.37766493,45.08080333,9.200711667,62.54534944,0.8971608281,8.920000076,1.299999952,8.300000191
12.37766493,45.080815,9.200715,62.84532184,1.854029417,12.77000046,1.399999976,8.199999809
13.37766493,45.080835,9.200715,63.24526151,1.978077531,7.190000057,1.5,8.100000381
14.37766493,45.08085333,9.20071,63.34519482,2.136097193,2.25999999,1.600000024,8.0
15.37766493,45.08087667,9.200706667,63.44511685,2.457283974,4.300000191,1.600000024,8.199999809
16.37766493,45.08089667,9.200708333,63.74506031,2.384708166,352.3900146,1.600000024,8.300000191
17.37766493,45.08091833,9.200715,63.64501013,2.392943621,0.6999999881,1.600000024,8.399999619
18.37766493,45.08094333,9.200718333,63.6449423,2.449563026,8.359999657,1.600000024,8.600000381
19.37766493,45.08096667,9.200721667,63.5448795,1.902413368,11.90999985,1.700000048,8.699999809
20.37766493,45.08098833,9.200725,63.14482173,2.160803795,2.680000067,1.700000048,8.600000381
21.37766493,45.081015,9.200735,62.14476405,2.343530178,10.11999989,1.700000048,8.399999619
22.37766493,45.08103833,9.200745,62.14471642,2.431033134,16.76000023,1.700000048,7.599999905
23.37766493,45.08106167,9.20075,62.44465742,2.49640274,12.30000019,1.700000048,7.599999905
24.37766493,45.08108333,9.200758333,62.64461102,2.533977509,22.44000053,1.700000048,7.5
25.37766493,45.08110167,9.200773333,63.04458986,2.500005722,26.90999985,1.600000024,7.400000095
26.37766493,45.08111667,9.200781667,63.44456357,2.460886955,16.37999916,1.600000024,7.400000095
27.37766493,45.081135,9.200785,63.54451586,2.419709206,27.90999985,1.600000024,7.199999809
28.37766493,45.08114667,9.200788333,63.34448825,2.297719955,9.409999847,1.600000024,7.199999809
29.37766493,45.08115167,9.200791667,63.24448075,2.09646368,2.349999905,1.5,7.099999905
30.37766493,45.08115167,9.200791667,63.34448075,1.85866189,4.619999886,1.5,7.300000191
31.37766493,45.08115167,9.200793333,63.24448454,1.599241972,10.27000046,1.399999976,7.0
32.37766493,45.08115167,9.200793333,63.24448454,1.33415997,353.9100037,1.399999976,6.699999809
33.37766493,45.08115167,9.200793333,63.24448454,1.076798916,335.9299927,1.399999976,6.5
34.37766493,45.08115167,9.200793333,63.24448454,0.8302469254,329.4599915,1.299999952,6.400000095
35.37766493,45.08115167,9.200793333,63.24448454,0.0,329.4599915,1.299999952,6.400000095
36.37766493,45.08115167,9.200793333,63.24448454,0.0,329.4599915,1.200000048,6.400000095
37.37766493,45.081155,9.200785,63.44445552,0.0,329.4599915,1.200000048,6.300000191
38.37766493,45.08115333,9.200783333,63.44445676,0.0,329.4599915,1.200000048,6.400000095
