"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
4.747796059E-2,4.550558547E1,9.157029864E0,1.375841455E2,NaN,NaN,1.293172071E2,3.545391588E1
5.782300234E-1,4.550588109E1,9.156937379E0,1.375843210E2,NaN,NaN,6.707022489E1,3.545394280E1
6.030875444E-1,4.550592652E1,9.156923164E0,1.327100000E2,0.000000000E0,1.205859375E2,5.094008832E1,3.545394280E1
2.088090181E0,4.550586358E1,9.156963548E0,1.399975777E2,0.000000000E0,NaN,5.081394952E1,3.000000000E0
3.088094592E0,4.550565972E1,9.156814646E0,1.407602119E2,0.000000000E0,NaN,4.253710729E1,3.000000000E0
4.088097453E0,4.550570638E1,9.157044483E0,1.409849434E2,1.800000072E-1,NaN,3.523384473E0,3.000000000E0
5.088101506E0,4.550570919E1,9.157043686E0,1.393922920E2,7.300000191E-1,3.318750000E2,2.524742909E0,3.000000000E0
6.088105321E0,4.550571889E1,9.157036417E0,1.388094063E2,1.549999952E0,3.287109375E2,2.772689549E0,3.000000000E0
7.087311745E0,4.550573613E1,9.157022542E0,1.387341499E2,1.549999952E0,3.301171875E2,3.021653073E0,3.000000000E0
8.087306142E0,4.550575437E1,9.157008452E0,1.386945992E2,1.919999957E0,3.294140625E2,3.146818356E0,3.000000000E0
9.087314844E0,4.550577412E1,9.156994147E0,1.388584175E2,2.130000114E0,3.304687500E2,3.128639290E0,3.000000000E0
1.008731639E1,4.550579559E1,9.156976065E0,1.384822578E2,2.640000105E0,3.258984375E2,3.271401146E0,3.000000000E0
1.108731878E1,4.550581833E1,9.156955422E0,1.382842598E2,2.660000086E0,3.267115173E2,3.338409211E0,3.000000000E0
1.208733523E1,4.550583980E1,9.156936483E0,1.381657906E2,2.640000105E0,3.267115173E2,3.380345049E0,3.000000000E0
1.308734536E1,4.550586120E1,9.156916523E0,1.381181221E2,2.589999914E0,3.267115173E2,3.430284807E0,3.000000000E0
1.408735669E1,4.550588166E1,9.156896539E0,1.381181227E2,2.589999914E0,3.267115173E2,2.916382984E0,4.029364438E0
1.508737934E1,4.550590235E1,9.156880046E0,1.377046094E2,2.349999905E0,3.267115173E2,3.038105637E0,4.029364438E0
1.608738470E1,4.550592182E1,9.156860340E0,1.377684523E2,2.589999914E0,3.278049316E2,3.259719186E0,4.029364438E0
1.708739591E1,4.550594175E1,9.156839208E0,1.375494581E2,2.589999914E0,3.278049316E2,3.436325315E0,4.029364438E0
1.808741891E1,4.550596111E1,9.156818309E0,1.376554762E2,2.589999914E0,3.278049316E2,3.590675146E0,4.029364438E0
1.908743393E1,4.550597893E1,9.156799048E0,1.375445752E2,2.430000067E0,3.278049316E2,3.738100123E0,4.029364438E0
