"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
-1.711083343E-3,-2.198927307E-1,5.903274078E0,7.854017487E0
8.246916695E-3,-2.454895020E-1,5.898334351E0,7.907007294E0
1.820391661E-2,-2.243833923E-1,5.909111938E0,7.922724609E0
2.816091664E-2,-2.248324585E-1,5.898334351E0,7.920030212E0
3.811791667E-2,-1.975891113E-1,5.896687775E0,7.874075775E0
4.807491670E-2,-1.392105103E-1,5.910608826E0,7.818541260E0
5.803191662E-2,-1.501377869E-1,5.904321899E0,7.837252350E0
6.798991666E-2,-1.757345581E-1,5.880521393E0,7.864346008E0
7.794691669E-2,-2.534230042E-1,5.855822754E0,7.891140289E0
8.790391660E-2,-3.335064697E-1,5.860014038E0,7.882608032E0
9.786091663E-2,-3.188369751E-1,5.887856140E0,7.821085968E0
1.078179167E-1,-3.201841736E-1,5.914650421E0,7.741152191E0
1.177749167E-1,-3.164419556E-1,5.919590149E0,7.746690674E0
1.277329166E-1,-3.493734741E-1,5.941145325E0,7.788902893E0
1.376899166E-1,-3.760180664E-1,5.948629761E0,7.835306396E0
1.476469167E-1,-3.516188049E-1,5.965544586E0,7.863148499E0
1.576039166E-1,-3.180885315E-1,5.939498749E0,7.877219238E0
1.675609166E-1,-2.691403198E-1,5.902675323E0,7.850874023E0
1.775179167E-1,-2.514770508E-1,5.910608826E0,7.809859314E0
1.874759167E-1,-2.914439392E-1,5.899082794E0,7.771988068E0
1.974329166E-1,-3.327580261E-1,5.877228241E0,7.816146240E0
2.073899166E-1,-3.670367432E-1,5.871240692E0,7.875123596E0
2.173469167E-1,-3.767665100E-1,5.896837463E0,7.906258850E0
2.273039167E-1,-3.629951477E-1,5.908812561E0,7.918982391E0
2.372609166E-1,-2.965333557E-1,5.902375946E0,7.904163208E0
2.472179167E-1,-2.558180237E-1,5.866750031E0,7.904612274E0
2.571759167E-1,-2.152523804E-1,5.881120148E0,7.886200562E0
2.671329166E-1,-1.347198486E-1,5.910309448E0,7.843688965E0
2.770899166E-1,-1.053808594E-1,5.958209839E0,7.828869781E0
2.870469167E-1,-1.766326904E-2,5.923332367E0,7.817942505E0
2.970039167E-1,1.646575928E-2,5.966891785E0,7.767796783E0
3.069609166E-1,2.335144043E-2,5.987698517E0,7.721542969E0
3.169189167E-1,2.155517578E-2,6.028264160E0,7.743098145E0
3.268759167E-1,9.101074219E-2,5.985902252E0,7.773185577E0
3.368329166E-1,5.119354248E-2,6.037245483E0,7.769742737E0
3.467899166E-1,7.409591675E-2,6.023923187E0,7.783364410E0
3.567469167E-1,1.061293030E-1,6.031108246E0,7.777376862E0
3.667039167E-1,6.975494385E-2,5.988596649E0,7.760462036E0
3.766619166E-1,1.127156067E-1,5.953419800E0,7.788154449E0
3.866189166E-1,1.437011719E-1,5.937552795E0,7.801925812E0
3.965759167E-1,1.419049072E-1,5.919290771E0,7.828420715E0
4.065329167E-1,2.276765442E-1,5.879922638E0,7.838000793E0
4.164899166E-1,2.324665833E-1,5.931116180E0,7.835007019E0
4.264469167E-1,2.269281006E-1,5.943240967E0,7.838000793E0
4.364049167E-1,2.350112915E-1,5.979016571E0,7.837402039E0
4.463619166E-1,2.050735474E-1,5.961502991E0,7.823031921E0
4.563189166E-1,2.065704346E-1,5.964047699E0,7.786058807E0
4.662759167E-1,2.097138977E-1,5.978417816E0,7.755671997E0
4.762329167E-1,2.146536255E-1,6.021677856E0,7.739505615E0
4.861899166E-1,2.210902405E-1,6.024372253E0,7.747588806E0
4.961479167E-1,2.174977112E-1,6.038592682E0,7.794141998E0
5.061049167E-1,2.113604736E-1,6.030659180E0,7.816894684E0
5.160619166E-1,2.682421875E-1,6.038143616E0,7.824977875E0
5.260189166E-1,1.782792664E-1,6.042634277E0,7.754324799E0
5.359759167E-1,3.757186890E-1,5.974974976E0,7.702532501E0
5.459329167E-1,2.432441711E-1,5.929619293E0,7.688461761E0
5.558909166E-1,3.597019958E-1,5.908812561E0,7.698341217E0
5.658479166E-1,1.133143616E-1,5.973478088E0,7.798632660E0
5.758049167E-1,1.954934692E-1,6.009104004E0,7.881859589E0
5.857619167E-1,2.065704346E-1,5.998326416E0,7.881260834E0
5.957189166E-1,2.812651062E-1,5.962700500E0,7.734416199E0
6.056759167E-1,3.318598938E-1,6.000272369E0,7.679181061E0
6.156339167E-1,2.005828857E-1,6.032006378E0,7.676336975E0
6.255909166E-1,1.646575928E-2,6.016289062E0,7.811954956E0
6.355479166E-1,-1.016386414E-1,5.978567505E0,7.923622742E0
6.455049167E-1,-7.334747314E-2,5.988596649E0,7.902366943E0
6.554619167E-1,-1.242416382E-2,5.989644470E0,7.841743011E0
6.654189166E-1,3.607498169E-2,5.938450928E0,7.761509857E0
6.753769167E-1,2.769241333E-2,5.931116180E0,7.763306122E0
6.853339167E-1,1.796264648E-2,5.911357269E0,7.852071533E0
6.952909166E-1,-3.367996216E-2,5.856571198E0,8.003107452E0
7.052479166E-1,1.333726501E-1,5.936205597E0,7.836503906E0
7.152049167E-1,2.272274780E-1,5.966891785E0,7.796986084E0
7.251619167E-1,3.739224243E-1,5.916746063E0,7.749235382E0
7.351189166E-1,4.287084961E-1,5.915698242E0,7.795938263E0
7.450769166E-1,2.475851440E-1,5.905519409E0,7.841743011E0
7.550339167E-1,1.239422607E-1,5.970184937E0,7.831713867E0
7.649909166E-1,1.541793823E-1,5.954617310E0,7.770790558E0
7.749479166E-1,1.736389160E-1,5.992338867E0,7.728129272E0
7.849049167E-1,2.260299683E-1,5.968388672E0,7.700586548E0
7.948614167E-1,2.448907471E-1,5.967939606E0,7.781418457E0
8.048194166E-1,1.619631958E-1,5.992937622E0,7.841144257E0
8.147764166E-1,8.547225952E-2,5.986051941E0,7.849377136E0
8.247334167E-1,7.993377686E-2,5.915847931E0,7.895032196E0
8.346904167E-1,2.290237427E-2,6.000422058E0,7.776329041E0
8.446474166E-1,2.038760376E-1,5.931116180E0,7.807613983E0
8.546044166E-1,1.413061523E-1,5.901627502E0,7.784112854E0
8.645624167E-1,2.442919922E-1,5.907914429E0,7.848329315E0
8.745194166E-1,2.835104370E-1,5.931864624E0,7.912994843E0
8.844764166E-1,1.643582153E-1,5.978866882E0,7.854167175E0
8.944334167E-1,2.064207458E-1,5.958808594E0,7.849077759E0
9.043904167E-1,1.348695374E-1,5.948031006E0,7.809559937E0
9.143474166E-1,1.766326904E-1,5.970484314E0,7.759563904E0
9.243054166E-1,2.005828857E-1,6.005212097E0,7.779173126E0
9.342624167E-1,2.451901245E-1,5.995482330E0,7.789651337E0
9.442194167E-1,2.746788025E-1,6.032156067E0,7.772886200E0
9.541764166E-1,3.192860413E-1,6.004912720E0,7.790699158E0
9.641334167E-1,2.954855347E-1,5.989345093E0,7.739505615E0
9.740904167E-1,2.823129272E-1,5.955964508E0,7.750881958E0
9.840484166E-1,2.502795410E-1,5.972130890E0,7.784711609E0
9.940054166E-1,2.242337036E-1,5.992787933E0,7.794890442E0
1.003962417E0,2.368075562E-1,5.979465637E0,7.818690948E0
1.013919417E0,1.947450256E-1,5.960904236E0,7.831414490E0
1.023876417E0,1.784289551E-1,5.935906219E0,7.810308380E0
1.033833417E0,2.182461548E-1,5.926475830E0,7.809709625E0
1.043791417E0,2.125579834E-1,5.920488281E0,7.764204254E0
1.053748417E0,1.984872437E-1,5.904471588E0,7.772137756E0
1.063705417E0,1.896556091E-1,5.929020538E0,7.796537018E0
1.073662417E0,1.372645569E-1,5.957012329E0,7.809110870E0
1.083619417E0,1.336720276E-1,5.966592407E0,7.815248108E0
1.093576417E0,1.386117554E-1,5.974974976E0,7.823630676E0
1.103534417E0,1.311273193E-1,5.976022797E0,7.833360443E0
1.113491417E0,1.085243225E-1,5.963898010E0,7.828271027E0
1.123448417E0,1.107696533E-1,5.965245209E0,7.817044373E0
1.133405417E0,1.442999268E-1,5.975424042E0,7.802225189E0
1.143362417E0,1.685494995E-1,5.971382446E0,7.798782349E0
1.153319417E0,1.722917175E-1,5.954916687E0,7.801327057E0
1.163277417E0,1.772314453E-1,5.962999878E0,7.822133789E0
1.173234417E0,1.437011719E-1,5.970184937E0,7.792944489E0
1.183191417E0,6.616241455E-2,5.979765015E0,7.790699158E0
1.193148417E0,-1.197509766E-3,5.967041473E0,7.814200287E0
1.203105417E0,-5.373825073E-2,5.982758789E0,7.837102661E0
1.213062417E0,-9.774673462E-2,5.985752563E0,7.820038147E0
1.223020417E0,-1.086740112E-1,6.002966766E0,7.761509857E0
1.232977417E0,-6.346801758E-2,5.998925171E0,7.756270752E0
1.242934417E0,-7.484436035E-4,5.980962524E0,7.741301880E0
1.252891417E0,-1.631607056E-2,5.983806610E0,7.771838379E0
1.262848417E0,1.930984497E-2,5.988297272E0,7.766150208E0
1.272806417E0,2.095642090E-2,5.970334625E0,7.781867523E0
1.282763417E0,5.987548828E-2,5.963149567E0,7.787555695E0
1.292720417E0,8.337661743E-2,5.935606842E0,7.798033905E0
1.302677417E0,1.058299255E-1,5.937702484E0,7.791896667E0
1.312634417E0,3.712280273E-2,5.934708710E0,7.810308380E0
1.322591417E0,-2.080673218E-2,5.943839722E0,7.855514374E0
1.332548417E0,-7.589218140E-2,5.950276337E0,7.867489471E0
1.342506417E0,-6.286926270E-2,5.944288788E0,7.866441650E0
1.352463417E0,-4.640350342E-2,5.930068359E0,7.843539276E0
1.362420417E0,-4.430786133E-2,5.924080811E0,7.790699158E0
1.372377417E0,-4.311035156E-2,5.951922913E0,7.781268768E0
1.382334417E0,-5.463638306E-2,5.964197388E0,7.773484955E0
1.392292417E0,-9.370513916E-2,5.985902252E0,7.799680481E0
1.402249417E0,-1.059796143E-1,6.006110229E0,7.821085968E0
1.412206417E0,-7.708969116E-2,6.026168518E0,7.784262543E0
1.422163417E0,-3.637435913E-2,6.015989685E0,7.763156433E0
1.432120417E0,-2.170486450E-2,6.005810852E0,7.773484955E0
1.442077417E0,-3.233276367E-2,6.023623810E0,7.791746979E0
1.452035417E0,-3.397933960E-2,6.015839996E0,7.800428925E0
1.461992417E0,-3.667373657E-2,6.012696533E0,7.770940247E0
1.471949417E0,8.532257080E-3,5.988446960E0,7.775730286E0
1.481906417E0,9.580078125E-3,5.957311707E0,7.752079468E0
1.491863417E0,-4.490661621E-4,5.939498749E0,7.747439117E0
1.501820417E0,-3.951782227E-2,5.958958282E0,7.777077484E0
1.511778417E0,-6.900650024E-2,5.976920929E0,7.790250092E0
1.521735417E0,-5.568420410E-2,5.964047699E0,7.782915344E0
1.531692417E0,-2.514770508E-2,5.981261902E0,7.783364410E0
1.541649417E0,-4.041595459E-3,5.982459412E0,7.772287445E0
1.551606417E0,2.095642090E-3,5.980363770E0,7.774083710E0
1.561563417E0,-6.735992432E-3,5.989644470E0,7.781568146E0
1.571521417E0,-2.469863892E-2,5.988596649E0,7.772886200E0
1.581478417E0,-8.232879639E-3,5.982908478E0,7.796836395E0
1.591435417E0,2.604583740E-2,5.975124664E0,7.799381104E0
1.601392417E0,1.332229614E-2,5.958209839E0,7.813900909E0
1.611349417E0,-7.185058594E-3,5.960904236E0,7.845634918E0
1.621307417E0,-2.245330811E-2,5.948779449E0,7.857160950E0
1.631264417E0,-4.340972900E-2,5.950276337E0,7.852819977E0
1.641221417E0,-2.769241333E-2,5.921685791E0,7.845185852E0
1.651178417E0,-9.430389404E-3,5.908213806E0,7.829767914E0
1.661135417E0,-1.496887207E-2,5.942791901E0,7.824379120E0
