"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.778935481911000E9,"2026-05-16 14:44:41.911 UTC+02:00"
"PAUSE",3.000751029164530E1,1.778935511918000E9,"2026-05-16 14:45:11.918 UTC+02:00"
