"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.076035833E-1,-4.225592718E-1,-1.363102913E-2,-4.347837532E-1,6.064478997E-1
6.175735833E-1,-1.730226195E-1,-6.015884435E-1,-9.313848549E-1,1.122195718E0
6.275445833E-1,-2.185711138E-1,-3.670855674E-1,-1.987527072E-2,4.276916786E-1
6.375155833E-1,2.407503337E-2,-2.778702128E-1,6.627269304E-1,7.190260403E-1
6.474865833E-1,2.922184029E-1,6.030496627E-2,3.606194240E-1,4.680541132E-1
6.574565833E-1,4.123463787E-2,-7.825153291E-2,7.794186437E-1,7.844214556E-1
6.674275833E-1,1.442200392E-1,-4.884103221E-1,3.255413926E-1,6.044181174E-1
6.773985833E-1,3.116570328E-1,-1.051151327E0,-3.482473004E-1,1.150358813E0
6.873685833E-1,-2.273503426E-1,-6.926328072E-1,2.612021399E-1,7.743739031E-1
6.973395833E-1,-7.157698741E-1,1.331913865E-1,2.282712060E-1,7.630034086E-1
7.073105833E-1,-1.150482072E0,1.714082032E-2,1.274178457E-1,1.157643344E0
7.172815833E-1,-1.781496921E0,-1.390026417E-1,9.317070365E-1,2.015224805E0
7.272515833E-1,-1.753178855E0,5.711607027E-1,-9.170422196E-2,1.846150132E0
7.372225833E-1,-1.554794815E0,7.203623503E-1,-8.704749942E-1,1.921987395E0
7.471935833E-1,-1.550290705E0,5.944905084E-1,-1.297349803E0,2.107115741E0
7.571645833E-1,-1.586132090E0,-1.038252077E-1,-1.123948869E0,1.946755183E0
7.671345833E-1,-1.664619558E0,-8.348917633E-2,-6.515640110E-1,1.789543064E0
7.771055833E-1,-1.831025468E0,5.503589407E-1,-9.838057280E-2,1.914478510E0
7.870765833E-1,-1.457621400E0,9.074036694E-1,1.488782966E-1,1.723428650E0
7.970475833E-1,-7.295930573E-1,7.229924279E-1,-2.534773833E-1,1.057957874E0
8.070175833E-1,-2.445439341E-1,2.701121271E-1,-8.056135851E-1,8.841807199E-1
8.169885833E-1,1.761491988E-2,1.499682176E-1,-1.513099197E0,1.520614985E0
8.269595833E-1,2.475915760E-1,3.680945045E-1,-1.125460959E0,1.209734485E0
8.369305833E-1,2.572254485E-1,3.995557407E-1,-7.320304692E-1,8.727418456E-1
8.469005833E-1,4.313805640E-1,3.393019375E-1,-8.127805173E-1,9.807278752E-1
8.568715833E-1,4.469947129E-1,6.380411553E-1,-5.135948646E-1,9.331026065E-1
8.668425833E-1,1.220411299E-1,8.707615077E-1,-3.582320058E-1,9.494471079E-1
8.768135833E-1,-2.488593620E-1,6.296436766E-1,-5.382946730E-2,6.791757895E-1
8.867835833E-1,-6.650392118E-1,9.182759821E-2,1.125107787E0,1.310182046E0
8.967545833E-1,-1.039167604E0,2.628361443E-1,9.789911306E-1,1.451680331E0
9.067255833E-1,-1.344445032E0,8.829058823E-1,2.757500124E-1,1.631898683E0
9.166965833E-1,-1.543219813E0,9.713470656E-1,-4.981664014E-1,1.890294230E0
9.266665833E-1,-1.378302458E0,6.157401672E-1,-8.916875231E-1,1.753271302E0
9.366375833E-1,-8.831811400E-1,4.220061252E-1,-5.701614136E-1,1.132776294E0
9.466085833E-1,-9.015205664E-1,7.342535806E-1,-5.030651987E-2,1.163786234E0
9.565795833E-1,-6.075895506E-1,1.780033655E0,-1.137292215E0,2.197980541E0
9.665495833E-1,-8.175639783E-1,1.639548159E0,-1.152466909E0,2.164418860E0
9.765205833E-1,-5.231299192E-1,3.887205577E-1,-5.430852968E-1,8.483573680E-1
9.864915833E-1,2.072364324E-1,5.137965935E-1,-3.107672328E-1,6.352244890E-1
9.964625833E-1,2.013380536E-1,1.241189344E0,-3.570391738E-1,1.307120871E0
1.006432583E0,3.511769382E-1,1.179624302E0,-9.246476930E-1,1.539419401E0
1.016403583E0,3.161723624E-1,1.071461045E0,-5.921229708E-1,1.264358868E0
1.026374583E0,3.147506484E-1,6.139889261E-1,4.331208050E-2,6.913221452E-1
1.036345583E0,4.625015653E-1,2.983395606E-2,7.941202980E-1,9.194698530E-1
1.046315583E0,1.932515554E-1,6.220732865E-1,1.122650203E0,1.297946384E0
1.056286583E0,-2.507782400E-2,1.005773717E0,5.449353558E-1,1.144187139E0
1.066257583E0,2.329283488E-1,5.745161274E-1,-6.956847614E-1,9.318270674E-1
1.076228583E0,1.940707138E-1,7.578488499E-2,-3.957190901E-1,4.472140304E-1
1.086198583E0,8.898128327E-2,-3.841866267E-1,1.920629078E-1,4.386401640E-1
1.096169583E0,-3.595128750E-1,-5.527823192E-1,4.580334520E-1,8.028776014E-1
1.106140583E0,-7.712125151E-1,1.723519439E-1,3.710759997E-1,8.730242457E-1
1.116111583E0,-8.796292488E-1,-3.380234438E-1,6.537233877E-1,1.146892206E0
1.126081583E0,-1.468202375E0,-4.571920377E-1,6.818479103E-1,1.682129408E0
1.136052583E0,-1.899167019E0,1.469688883E-1,1.266331494E-1,1.909049810E0
1.146023583E0,-1.884641659E0,-3.701986250E-1,-4.272449380E-1,1.967602460E0
1.155994583E0,-1.934213330E0,-6.893215290E-1,-9.226573008E-1,2.251142348E0
1.165964583E0,-2.015591076E0,-2.743235841E-1,-7.747782934E-1,2.176727410E0
1.175935583E0,-1.854285254E0,-8.842791009E-1,-3.348226780E-1,2.081448908E0
1.185906583E0,-1.474788533E0,-8.540326238E-1,5.211214006E-1,1.782116846E0
1.195877583E0,-8.538994534E-1,-6.668644202E-1,1.262333168E0,1.663531622E0
1.205847583E0,-5.656135223E-1,-3.072539333E-1,9.555829722E-1,1.152155568E0
1.215818583E0,-1.983047009E-1,1.944821933E-1,1.420380483E0,1.447283246E0
1.225789583E0,-1.641316905E-1,1.855102256E-1,3.184914047E-1,4.034724656E-1
1.235759583E0,3.733472045E-1,6.872907910E-1,-2.074989724E-1,8.092049122E-1
1.245730583E0,9.849541211E-1,6.876223281E-1,-4.090484029E-1,1.268967960E0
1.255701583E0,1.519373844E0,6.206933436E-1,-1.826430434E-1,1.651398070E0
1.265672583E0,1.342723758E0,5.504861176E-1,3.562533081E-1,1.494275235E0
1.275643583E0,1.942864870E0,1.049741563E0,-4.220163578E-1,2.248283580E0
1.285613583E0,1.798057259E0,1.363266050E0,-6.933669251E-1,2.360563899E0
1.295584583E0,1.692825065E0,1.227482301E0,-9.652279544E-1,2.303048958E0
1.305555583E0,1.693773775E0,9.934670824E-1,-9.468162417E-1,2.179978771E0
1.315525583E0,1.401305696E0,4.976115006E-1,-1.224457244E0,1.926284092E0
1.325496583E0,1.460774511E0,9.589842975E-2,-1.455797068E0,2.064558981E0
1.335467583E0,1.572522842E0,6.134515670E-1,-1.535521515E0,2.281880198E0
1.345438583E0,1.303039437E0,7.533926868E-1,-1.541215534E0,2.154264987E0
1.355408583E0,1.074158001E0,1.034986991E0,-7.004040492E-1,1.647901488E0
1.365379583E0,3.146587741E-1,-5.090059698E-2,-3.464241385E-1,4.707554552E-1
1.375350583E0,-2.651524457E-1,-5.849466830E-1,5.717758298E-1,8.598814110E-1
1.385321583E0,2.607578246E-1,-9.572973758E-1,1.551083295E0,1.841269208E0
1.395291583E0,-1.007171933E-1,-8.065704820E-1,1.071420992E0,1.344857925E0
1.405262583E0,4.003936467E-1,-3.029720172E-1,3.868061793E-1,6.338186932E-1
1.415233583E0,5.386512800E-1,-3.637111393E-1,8.910688877E-2,6.560267006E-1
1.425204583E0,-2.620171686E-1,-2.757810026E-1,3.513474941E-2,3.820243561E-1
1.435174583E0,1.319804281E-2,-1.116712940E-1,3.634687722E-1,3.804657863E-1
1.445145583E0,-2.189633889E-1,-4.910901010E-2,4.088227004E-1,4.663610842E-1
1.455116583E0,-5.188518769E-1,3.605051109E-1,-3.373767418E-1,7.162361839E-1
1.465087583E0,-4.990126397E-1,-6.071280956E-2,-2.214814192E-1,5.493211072E-1
1.475057583E0,-6.641841296E-1,1.975408718E-1,-3.960161287E-1,7.981176155E-1
1.485028583E0,-1.753968814E-1,3.128114194E-2,-3.110420519E-1,3.584546469E-1
1.494999583E0,2.001928034E-1,2.757546902E-2,4.246832728E-2,2.064972732E-1
1.504970583E0,2.326868040E-1,6.048772100E-1,4.005693555E-1,7.618893597E-1
1.514940583E0,2.416174027E-1,3.781613633E-1,4.787472135E-1,6.561889060E-1
1.524911583E0,4.092386567E-1,7.058062917E-1,-4.693507379E-1,9.412379692E-1
1.534882583E0,6.726432965E-1,8.473018938E-1,-9.321309596E-1,1.428018778E0
1.544853583E0,8.311754192E-1,5.559249052E-1,-5.542663425E-1,1.143291851E0
1.554824583E0,7.943557946E-1,7.304625383E-1,-9.316567504E-1,1.425679119E0
1.564794583E0,5.667691514E-1,1.666453537E0,-1.313825503E0,2.196458995E0
1.574765583E0,1.109026775E-1,1.026689500E0,-9.748735213E-1,1.420129964E0
1.584736583E0,-1.031865455E-2,6.295328718E-1,-6.658826727E-1,9.164157600E-1
1.594707583E0,2.022785783E-1,6.958674869E-1,-3.186562961E-1,7.916375544E-1
1.604677583E0,-2.397092369E-1,4.530577639E-1,2.909825939E-1,5.894003102E-1
1.614648583E0,-2.453790627E-1,7.280885687E-1,1.840021117E0,1.993991364E0
1.624619583E0,-1.764748156E-1,4.410584003E-1,1.811705391E0,1.872952828E0
1.634590583E0,-4.307588954E-1,1.321068449E0,-3.830721474E-1,1.441360241E0
1.644560583E0,-3.587097234E-1,9.033310837E-1,-1.594218205E0,1.867139897E0
1.654531583E0,-4.304755247E-1,-6.575769952E-1,-1.378951791E0,1.587206579E0
1.664502583E0,-6.194166771E-1,-1.233357291E0,-4.337470418E-1,1.446714803E0
1.674473583E0,-1.180276340E0,-9.114981821E-1,1.919243288E-1,1.503567798E0
1.684443583E0,-1.046019006E0,3.268798202E-1,5.680850673E-1,1.234393301E0
1.694414583E0,-4.847961581E-1,5.799312338E-1,6.169549263E-1,9.756951019E-1
1.704385583E0,-6.649331579E-1,4.657687336E-2,4.283389521E-1,7.923255439E-1
1.714356583E0,3.688628286E-2,5.509804997E-1,1.570679069E-1,5.741170928E-1
1.724326583E0,-1.418165412E-1,3.951560032E-1,-2.106365883E-1,4.697105179E-1
