"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
7.289052010E-3,4.550080357E1,9.161341953E0,1.392855390E2,NaN,NaN,2.910134762E1,5.698244251E0
1.867390871E-1,4.550103016E1,9.161113363E0,1.392855657E2,NaN,NaN,4.066514822E1,5.709734294E0
2.366859913E-1,4.550102998E1,9.161112845E0,1.392856458E2,NaN,NaN,4.065858797E1,5.709734356E0
5.975055695E-1,4.550068744E1,9.161365026E0,1.339582748E2,0.000000000E0,3.262500000E2,1.325866124E1,8.000000000E0
2.032504439E0,4.550064530E1,9.161398919E0,1.324251900E2,0.000000000E0,3.262500000E2,3.534460646E0,4.000000000E0
3.032502770E0,4.550063824E1,9.161410004E0,1.324945869E2,0.000000000E0,3.262500000E2,7.110825627E0,3.000000000E0
4.032502174E0,4.550063013E1,9.161421183E0,1.326836739E2,0.000000000E0,1.353515625E2,6.000946990E0,3.000000000E0
5.032500625E0,4.550061290E1,9.161448869E0,1.333589058E2,1.610000014E0,1.395703125E2,5.167954274E0,3.000000000E0
6.032500386E0,4.550060337E1,9.161464580E0,1.326447945E2,1.730000019E0,1.346484375E2,4.656870046E0,3.000000000E0
7.032709956E0,4.550059296E1,9.161477939E0,1.321783638E2,1.730000019E0,1.371093750E2,4.188059258E0,3.000000000E0
8.032717109E0,4.550057629E1,9.161496992E0,1.319690132E2,1.809999943E0,1.378125000E2,3.895962291E0,3.000000000E0
9.032717824E0,4.550055683E1,9.161516615E0,1.320110054E2,2.599999905E0,1.416796875E2,3.733882629E0,3.000000000E0
1.003272319E1,4.550053593E1,9.161538065E0,1.317852364E2,2.609999895E0,1.420312500E2,3.681700526E0,3.000000000E0
1.103273225E1,4.550051486E1,9.161559638E0,1.319062691E2,2.609999895E0,1.402734375E2,3.631823840E0,3.000000000E0
1.203273368E1,4.550049614E1,9.161581062E0,1.320943794E2,2.609999895E0,1.399218750E2,3.607327858E0,3.000000000E0
1.303274322E1,4.550047603E1,9.161605418E0,1.314384956E2,3.119999886E0,1.378125000E2,3.582826115E0,3.000000000E0
1.403274441E1,4.550045708E1,9.161629586E0,1.314384964E2,3.119999886E0,1.378125191E2,3.031588467E0,4.029364438E0
1.503274357E1,4.550043807E1,9.161656142E0,1.315324906E2,3.119999886E0,1.381640815E2,3.185556860E0,4.029364438E0
1.603274763E1,4.550041930E1,9.161680374E0,1.315055739E2,2.750000000E0,1.371093921E2,3.526249942E0,4.029364438E0
1.703275573E1,4.550040086E1,9.161701990E0,1.312392775E2,2.619999886E0,1.374609537E2,3.805299330E0,4.029364438E0
1.803275537E1,4.550038530E1,9.161718220E0,1.318812451E2,2.190000057E0,1.385156382E2,4.039073377E0,4.029364438E0
1.903275323E1,4.550036454E1,9.161744293E0,1.322586257E2,2.819999933E0,1.360547054E2,4.214328650E0,4.029364438E0
2.003275824E1,4.550034584E1,9.161768384E0,1.329707228E2,2.670000076E0,1.353515796E2,4.355395452E0,4.029364438E0
2.103275609E1,4.550032536E1,9.161789136E0,1.326385085E2,2.750000000E0,1.381640792E2,4.748651530E0,4.029364438E0
2.203275311E1,4.550030602E1,9.161814205E0,1.324254348E2,2.750000000E0,1.385156416E2,4.748651530E0,4.029364438E0
2.303275216E1,4.550027993E1,9.161837320E0,1.329024246E2,3.069999933E0,1.448437661E2,4.748651530E0,4.029364438E0
2.403274930E1,4.550025790E1,9.161863638E0,1.335186966E2,3.069999933E0,1.413281425E2,4.748651530E0,4.029364438E0
2.503274751E1,4.550023539E1,9.161884323E0,1.334793900E2,3.019999981E0,1.434375164E2,4.748651530E0,4.029364438E0
2.603274560E1,4.550021828E1,9.161905920E0,1.336273391E2,2.759999990E0,1.406250160E2,4.748651530E0,4.029364438E0
2.703274357E1,4.550019695E1,9.161930056E0,1.338005568E2,2.759999990E0,1.416797031E2,4.748651530E0,4.029364438E0
2.803274083E1,4.550017371E1,9.161957873E0,1.343742874E2,3.059999943E0,1.409765801E2,4.748651530E0,4.029364438E0
2.903273976E1,4.550015385E1,9.161979499E0,1.344180496E2,3.059999943E0,1.423828295E2,4.748651530E0,4.029364438E0
3.003273773E1,4.550013516E1,9.162002978E0,1.342002152E2,3.029999971E0,1.409765799E2,4.748651530E0,4.029364438E0
3.103273547E1,4.550011746E1,9.162022798E0,1.338785597E2,2.680000067E0,1.420312650E2,4.748651530E0,4.029364438E0
3.203273487E1,4.550009900E1,9.162046241E0,1.341836135E2,2.730000019E0,1.406250158E2,4.748651530E0,4.029364438E0
3.303273284E1,4.550007659E1,9.162069868E0,1.340330398E2,2.950000048E0,1.434375160E2,4.748651530E0,4.029364438E0
3.403273082E1,4.550004860E1,9.162124078E0,1.354213943E2,2.731209928E0,1.652429877E2,8.316451396E0,4.253342508E0
3.503272986E1,4.550002054E1,9.162158090E0,1.345456835E2,3.246698598E0,1.486923519E2,4.602593725E0,3.000000000E0
3.603272808E1,4.549999893E1,9.162198981E0,1.344100297E2,3.267248593E0,1.408106737E2,5.440731239E0,3.000000000E0
3.703272688E1,4.549996281E1,9.162197813E0,1.340708401E2,3.260703268E0,1.415799686E2,5.398600744E0,4.668417078E0
3.803272521E1,4.549994254E1,9.162223073E0,1.337695933E2,3.144147511E0,1.413268378E2,5.017474121E0,4.324672993E0
3.903272378E1,4.549992383E1,9.162248224E0,1.336061468E2,2.977688290E0,1.423223438E2,5.115628786E0,4.423024647E0
4.003272188E1,4.549989849E1,9.162276489E0,1.336227764E2,3.213893676E0,1.420095471E2,4.930172566E0,4.219463396E0
