"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
-2.422916004E-4,5.254074097E-1,5.957012329E0,7.739505615E0
9.714708314E-3,5.596861267E-1,5.959706726E0,7.774083710E0
1.967270835E-2,5.827381897E-1,5.955066376E0,7.796836395E0
2.962970838E-2,5.066963196E-1,6.000272369E0,7.801476746E0
3.958670830E-2,4.522096252E-1,5.989943848E0,7.790848846E0
4.954370833E-2,4.227209473E-1,5.998176727E0,7.753576355E0
5.950070836E-2,4.529580688E-1,6.003266144E0,7.735014954E0
6.945770839E-2,4.954696655E-1,6.004463654E0,7.747738495E0
7.941470831E-2,4.564009094E-1,6.027066650E0,7.783214722E0
8.937170834E-2,4.005670166E-1,6.012247467E0,7.815697174E0
9.932970838E-2,3.454815674E-1,5.999523926E0,7.810308380E0
1.092867083E-1,3.567082214E-1,5.970035248E0,7.798632660E0
1.192437083E-1,3.656895447E-1,5.938899994E0,7.780220947E0
1.292007084E-1,3.742218018E-1,5.920488281E0,7.771838379E0
1.391577084E-1,3.835025024E-1,5.927074585E0,7.783364410E0
1.491147083E-1,3.808081055E-1,5.940845947E0,7.801925812E0
1.590717083E-1,3.885919189E-1,5.948330383E0,7.815098419E0
1.690297084E-1,4.334985352E-1,5.940247192E0,7.843539276E0
1.789867084E-1,4.722679138E-1,5.943989410E0,7.830067291E0
1.889437083E-1,4.799020386E-1,5.935457153E0,7.821385345E0
1.989007083E-1,4.339476013E-1,5.925877075E0,7.813002777E0
2.088577084E-1,4.236190796E-1,5.890550537E0,7.799680481E0
2.188150834E-1,3.861968994E-1,5.898334351E0,7.782765656E0
2.287720833E-1,3.505709839E-1,5.899681549E0,7.804320831E0
2.387290833E-1,3.799099731E-1,5.919141083E0,7.789052582E0
2.486870834E-1,3.754193115E-1,5.948330383E0,7.832013245E0
2.586440834E-1,3.441343689E-1,5.951024780E0,7.868387604E0
2.686010833E-1,2.778222656E-1,5.957760773E0,7.847730560E0
2.785580833E-1,2.778222656E-1,5.971981201E0,7.805069275E0
2.885150834E-1,2.883004761E-1,5.993985443E0,7.759264526E0
2.984720833E-1,2.977308655E-1,5.972430267E0,7.749085693E0
3.084290833E-1,3.402424622E-1,5.956862640E0,7.734865265E0
3.183870834E-1,3.216810608E-1,5.978417816E0,7.738008728E0
3.283440834E-1,2.857557678E-1,5.991291046E0,7.745343475E0
3.383010833E-1,3.144960022E-1,5.996380463E0,7.772137756E0
3.482580833E-1,3.496728516E-1,6.017486572E0,7.760462036E0
3.582150834E-1,3.534150696E-1,6.040688324E0,7.757168884E0
3.681720834E-1,3.372486877E-1,6.023025055E0,7.752079468E0
3.781290833E-1,3.799099731E-1,5.995182953E0,7.780819702E0
3.880860833E-1,3.766168213E-1,5.974376221E0,7.794890442E0
3.980440834E-1,3.525169373E-1,5.975873108E0,7.767347717E0
4.080010833E-1,3.737727356E-1,5.985902252E0,7.742948456E0
4.179580833E-1,3.977229309E-1,5.975723419E0,7.739655304E0
4.279150834E-1,4.035607910E-1,5.977369995E0,7.768994293E0
4.378720834E-1,4.090992737E-1,5.960155792E0,7.785909119E0
4.478290833E-1,3.595523071E-1,5.960455170E0,7.773035889E0
4.577860833E-1,3.513194275E-1,5.983507233E0,7.756270752E0
4.677440834E-1,3.591032410E-1,5.984255676E0,7.738008728E0
4.777010833E-1,4.046086121E-1,6.015091553E0,7.752378845E0
4.876580833E-1,4.781057739E-1,6.047124939E0,7.787406006E0
4.976150834E-1,5.149291992E-1,6.055208130E0,7.802823944E0
5.075720834E-1,4.788542175E-1,6.009104004E0,7.801925812E0
5.175290833E-1,4.462220764E-1,6.003715210E0,7.787705383E0
5.274860833E-1,4.240681458E-1,6.007008362E0,7.737409973E0
5.374430834E-1,3.890409851E-1,6.018384705E0,7.725434875E0
5.474010834E-1,4.421804810E-1,6.016139374E0,7.742349701E0
