"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.781181148956444E9,"2026-06-11 14:32:28.956 UTC+02:00"
"PAUSE",2.027225412498228E1,1.781181169228907E9,"2026-06-11 14:32:49.229 UTC+02:00"
