Time (s),Latitude (°),Longitude (°),Height (m),Velocity (m/s),Direction (°),Horizontal Accuracy (m),Vertical Accuracy (m)
0.537430921,45.08074667,9.200203333,64.24436322,0.01441222243,79.87000275,2.099999905,14.10000038
1.037430921,45.08074833,9.200201667,64.2443544,0.08544389158,84.43000031,2.0,10.80000019
1.728430921,45.08074833,9.200205,64.34436198,0.1219891682,80.73999786,1.899999976,11.0
2.228430921,45.08074833,9.200215,64.44438475,0.2115508318,81.59999847,1.799999952,11.60000038
2.728430921,45.08074833,9.200215,64.44438475,0.1569902748,66.45999908,1.700000048,11.5
3.228430921,45.08074833,9.200215,64.44438475,0.1189008355,49.61999893,1.700000048,12.39999962
4.228430921,45.08074833,9.200215,64.44438475,0.08492916822,53.70999908,1.600000024,12.89999962
5.728430921,45.08075167,9.200231667,64.74441263,0.2676555514,89.58000183,1.600000024,10.39999962
6.728430921,45.08075333,9.200241667,64.74443037,0.8148052692,80.83999634,1.600000024,9.199999809
7.728430921,45.08075,9.200253333,64.84446698,1.428354144,99.51999664,1.600000024,8.399999619
8.728430921,45.08074667,9.200271667,64.74451877,1.530783892,97.30999756,1.600000024,8.300000191
9.728430921,45.08074167,9.20029,64.74457558,1.694465518,105.5199966,1.600000024,8.100000381
10.72843092,45.08073833,9.20031,64.74463116,1.812336922,98.86000061,1.600000024,7.800000191
11.72843092,45.080735,9.20033,64.64468675,1.76395309,97.58000183,1.600000024,7.800000191
12.72843092,45.08073333,9.200351667,64.44474109,1.715569139,98.76000214,1.600000024,7.699999809
13.72843092,45.08073,9.200373333,64.54480047,1.686229944,99.43000031,1.600000024,7.599999905
14.72843092,45.08072667,9.200396667,64.44486364,1.854544163,103.7300034,1.600000024,7.699999809
15.72843092,45.08072667,9.200418333,64.54491296,1.773732781,100.6900024,1.600000024,7.699999809
16.72843092,45.08072167,9.20044,64.54497737,1.87101531,100.9000015,1.600000024,7.5
17.72843092,45.08071667,9.200463333,64.54504556,1.865868092,103.0899963,1.600000024,7.599999905
18.72843092,45.08071333,9.200485,64.44510494,1.804616094,101.7900009,1.600000024,7.699999809
19.72843092,45.08071,9.200506667,64.14516432,1.617771983,103.0999985,1.600000024,7.800000191
20.72843092,45.08070667,9.20053,63.94522749,1.801013112,103.2099991,1.600000024,7.699999809
21.72843092,45.08070167,9.200551667,63.74529189,1.797410011,102.5999985,1.600000024,7.699999809
22.72843092,45.08069833,9.200573333,63.64535127,1.750055552,99.65000153,1.600000024,7.5
23.72843092,45.08069667,9.200581667,63.64537527,1.590491652,208.4299927,1.600000024,7.5
24.72843092,45.08069833,9.20058,63.24536645,1.407250524,190.3200073,1.5,7.300000191
25.72843092,45.08069833,9.20058,63.24536645,1.232759714,116.1800003,1.399999976,7.099999905
26.72843092,45.08069833,9.20058,63.24536645,1.046944976,135.7200012,1.399999976,7.099999905
27.72843092,45.08070167,9.200575,63.64534501,0.8657627702,292.480011,1.399999976,7.300000191
28.72843092,45.08070167,9.200575,63.64534501,0.6902425289,295.0899963,1.299999952,7.199999809
29.72843092,45.08070167,9.200573333,63.64534121,0.5126633048,221.3999939,1.299999952,7.199999809
