"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.779268464524504E9,"2026-05-20 11:14:24.525 UTC+02:00"
"PAUSE",3.676022129133344E1,1.779268501284706E9,"2026-05-20 11:15:01.285 UTC+02:00"
