Time (s),Latitude (°),Longitude (°),Height (m),Velocity (m/s),Direction (°),Horizontal Accuracy (m),Vertical Accuracy (m)
36.63454914,45.08329333,9.201101667,61.03872477,3.265912533,191.1999969,2.200000048,8.300000191
37.63454914,45.08326667,9.201093333,61.23878628,3.279295206,197.0800018,2.200000048,8.300000191
38.63454914,45.083235,9.201081667,61.1388553,3.279809952,193.8000031,2.200000048,8.199999809
39.63454914,45.08320667,9.20107,61.43891426,3.289074898,198.5899963,2.200000048,8.100000381
40.63454914,45.08317833,9.201058333,61.53897322,3.300913572,194.1999969,1.700000048,6.5
41.63454914,45.08315167,9.201051667,61.83903852,3.27878046,192.8000031,1.600000024,6.400000095
42.63454914,45.08312833,9.201038333,62.03907861,3.249441385,196.6000061,1.600000024,6.300000191
43.63454914,45.08310167,9.201026667,62.13913254,3.231940746,197.3999939,1.600000024,6.300000191
44.63454914,45.08307167,9.201015,61.93919652,3.260250568,194.9299927,1.600000024,6.400000095
45.63454914,45.08304,9.201006667,61.83927312,3.289589643,199.6199951,1.600000024,6.400000095
46.63454914,45.08300667,9.200995,61.93934716,3.330252886,195.3099976,1.600000024,6.5
47.63454914,45.08297667,9.200981667,61.73940735,3.356503725,192.7100067,1.899999976,7.0
48.63454914,45.08294667,9.200968333,61.53946754,3.371430635,195.1300049,2.0,7.5
49.63454914,45.082915,9.200958333,61.43954034,3.393049002,193.6799927,2.099999905,7.900000095
50.63454914,45.08288333,9.200948333,61.73961314,3.426505804,194.1100006,2.099999905,8.0
51.63454914,45.08285333,9.200936667,61.83967712,3.460477591,193.6100006,2.200000048,8.0
52.63454914,45.08282167,9.20093,61.73975749,3.47437501,183.1100006,2.200000048,8.0
53.63454914,45.08279167,9.200926667,61.83984042,3.464595318,186.2100067,2.200000048,7.900000095
54.63454914,45.08276,9.200923333,61.93992837,3.450183153,184.1699982,2.200000048,8.0
55.63454914,45.08273,9.200918333,61.94000751,3.411578894,186.7100067,2.200000048,8.0
56.63454914,45.082705,9.200915,62.04007535,3.352385759,183.3200073,2.200000048,8.0
57.63454914,45.08267833,9.200906667,62.14013685,3.292678118,195.7599945,2.200000048,7.800000191
58.63454914,45.082655,9.200891667,62.34017313,3.19282198,203.5800018,2.200000048,7.800000191
59.63454914,45.082645,9.200876667,62.94016919,2.970976591,215.8399963,1.700000048,6.0
60.63454914,45.08263333,9.20087,63.14018923,2.668834686,208.7899933,1.5,5.900000095
61.63454914,45.08262833,9.200866667,63.54019673,2.337868452,201.6000061,1.399999976,5.699999809
62.63454914,45.08262833,9.200865,63.64019294,2.011534452,176.9299927,1.399999976,5.699999809
63.63454914,45.08262833,9.200865,63.64019294,1.688803554,212.2899933,1.299999952,5.599999905
64.63454914,45.08262833,9.200865,63.64019294,1.36658752,170.6199951,1.299999952,5.699999809
65.63454914,45.08262833,9.200865,63.64019294,1.062386632,145.0599976,1.200000048,5.599999905
