"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.779269201465759E9,"2026-05-20 11:26:41.466 UTC+02:00"
"PAUSE",4.739139562472701E1,1.779269248857558E9,"2026-05-20 11:27:28.858 UTC+02:00"
