"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.778939163387000E9,"2026-05-16 15:46:03.387 UTC+02:00"
"PAUSE",3.000734866666608E1,1.778939193394000E9,"2026-05-16 15:46:33.394 UTC+02:00"
