"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
-7.723751478E-4,-3.047662354E-1,6.694528656E0,7.290738831E0
9.182624985E-3,-3.237767029E-1,6.687044220E0,7.265890503E0
1.913762465E-2,-3.129991150E-1,6.655908966E0,7.185357971E0
2.909362502E-2,-2.968327332E-1,6.674919434E0,7.148833923E0
3.904862469E-2,-3.050656128E-1,6.690636749E0,7.139702911E0
4.900362482E-2,-2.968327332E-1,6.684948578E0,7.238198090E0
5.895862496E-2,-3.523672485E-1,6.671027527E0,7.329059143E0
6.891362462E-2,-3.935316467E-1,6.654412079E0,7.373367004E0
7.886862475E-2,-4.857398987E-1,6.610253906E0,7.328610077E0
8.882362489E-2,-5.291496277E-1,6.547085266E0,7.263794861E0
9.877862502E-2,-5.385800171E-1,6.522835693E0,7.192393341E0
1.087336247E-1,-5.417234802E-1,6.530769196E0,7.183711395E0
1.186886248E-1,-5.897735596E-1,6.556365967E0,7.218738556E0
1.286436250E-1,-6.683601379E-1,6.588848419E0,7.256609802E0
1.385996249E-1,-7.026388550E-1,6.589746552E0,7.342980194E0
1.485546250E-1,-6.649172974E-1,6.621330872E0,7.392676849E0
1.585096247E-1,-5.894741821E-1,6.627318420E0,7.388036499E0
1.684646248E-1,-5.481600952E-1,6.589746552E0,7.347620544E0
1.784196249E-1,-6.352789307E-1,6.523434448E0,7.286547546E0
1.883746251E-1,-7.875123596E-1,6.425837402E0,7.231611786E0
1.983296247E-1,-9.026229858E-1,6.434519348E0,7.219487000E0
2.082846249E-1,-9.740245056E-1,6.464606781E0,7.292834473E0
2.182396250E-1,-1.024020538E0,6.487060089E0,7.375462646E0
2.281946247E-1,-1.025816803E0,6.472540283E0,7.452402649E0
2.381496248E-1,-1.035247192E0,6.448590088E0,7.477999420E0
2.481046249E-1,-9.461824036E-1,6.442003784E0,7.482789459E0
2.580606248E-1,-8.303233337E-1,6.449637909E0,7.480244751E0
2.680156250E-1,-7.349716187E-1,6.449787598E0,7.430398407E0
2.779706246E-1,-6.667135620E-1,6.411616974E0,7.429500275E0
2.879256248E-1,-6.647676086E-1,6.372548218E0,7.425758057E0
2.978806249E-1,-7.361691284E-1,6.300248566E0,7.453300781E0
3.078356250E-1,-7.929011536E-1,6.293811951E0,7.461383972E0
3.177906247E-1,-8.550219727E-1,6.319857788E0,7.438780975E0
3.277456248E-1,-8.125103760E-1,6.361471252E0,7.430099030E0
3.377006250E-1,-7.747888184E-1,6.369853821E0,7.477849731E0
3.476556246E-1,-7.161108398E-1,6.349496155E0,7.534881134E0
3.576106247E-1,-6.215075684E-1,6.374194794E0,7.549700317E0
3.675656249E-1,-5.396278381E-1,6.399342499E0,7.532336426E0
3.775216248E-1,-3.126997375E-1,6.331683197E0,7.482789459E0
3.874766249E-1,-2.588117981E-1,6.321055298E0,7.418872375E0
3.974316251E-1,-3.541635132E-1,6.367159424E0,7.450905762E0
4.073866247E-1,-4.815486145E-1,6.421795807E0,7.504943390E0
4.173416249E-1,-4.574487305E-1,6.373745728E0,7.552993469E0
4.272966250E-1,-1.594184875E-1,6.246360626E0,7.476352844E0
4.372516247E-1,1.571731567E-2,6.309379578E0,7.252717896E0
4.472073750E-1,3.083587646E-2,6.406677246E0,7.243287506E0
4.571623746E-1,-3.350033569E-1,6.569089508E0,7.349416809E0
4.671173748E-1,-4.751119995E-1,6.557114410E0,7.466772766E0
4.770723749E-1,-4.165837097E-1,6.634503479E0,7.392377472E0
4.870273750E-1,-2.201921082E-1,6.719975739E0,7.212002563E0
4.969833749E-1,-1.936972046E-1,6.789281616E0,6.994055786E0
5.069383746E-1,-2.644999695E-1,6.772666168E0,6.949149170E0
5.168933747E-1,-3.543132019E-1,6.680158539E0,7.145391083E0
5.268483749E-1,-4.393363953E-1,6.570287018E0,7.445666656E0
5.368033750E-1,-4.480183411E-1,6.567143555E0,7.626640320E0
5.467583747E-1,-4.074526978E-1,6.720275116E0,7.617359619E0
5.567133748E-1,-2.341131592E-1,6.690936127E0,7.363637238E0
5.666683749E-1,-1.451980591E-2,6.538403320E0,7.116351471E0
5.766233746E-1,1.206491089E-1,6.387217712E0,7.062912598E0
5.865783747E-1,1.011895752E-1,6.381679230E0,7.164251862E0
5.965333749E-1,2.260299683E-2,6.394253082E0,7.334447937E0
6.064883750E-1,4.715194702E-2,6.438111877E0,7.505392456E0
6.164443749E-1,7.933502197E-3,6.518794098E0,7.516768799E0
6.263993750E-1,-2.050735474E-2,6.540498962E0,7.448211365E0
6.363543747E-1,-2.215393066E-1,6.493197327E0,7.348069611E0
6.463093748E-1,-4.076023865E-1,6.469696198E0,7.339387665E0
6.562643750E-1,-4.587959290E-1,6.478078766E0,7.355104980E0
6.662193746E-1,-5.289999390E-1,6.484365692E0,7.375612335E0
6.761743748E-1,-5.797444153E-1,6.474336548E0,7.409142609E0
6.861293749E-1,-5.869294739E-1,6.427184601E0,7.446564789E0
6.960843750E-1,-5.465135193E-1,6.438111877E0,7.452702026E0
7.060393747E-1,-4.185296631E-1,6.451883240E0,7.386539612E0
7.159943748E-1,-3.682342529E-1,6.452481995E0,7.390132141E0
7.259493750E-1,-4.249662781E-1,6.390660553E0,7.431146851E0
7.359043746E-1,-4.918771362E-1,6.358926544E0,7.452103271E0
7.458603750E-1,-5.394781494E-1,6.409371643E0,7.409741364E0
7.558153747E-1,-5.421725464E-1,6.451733551E0,7.398963776E0
7.657703748E-1,-5.408253479E-1,6.437962189E0,7.354206848E0
7.757253749E-1,-5.848338318E-1,6.474037170E0,7.327262878E0
7.856803746E-1,-6.303392029E-1,6.533463593E0,7.355554047E0
7.956353747E-1,-6.363267517E-1,6.575376434E0,7.386988678E0
8.055903749E-1,-6.474037170E-1,6.541696472E0,7.432643738E0
8.155453750E-1,-6.215075684E-1,6.515650635E0,7.442822571E0
8.255003747E-1,-5.849835205E-1,6.498137054E0,7.386689301E0
8.354553748E-1,-6.153703308E-1,6.423143005E0,7.364535370E0
8.454103749E-1,-6.803352356E-1,6.378086700E0,7.389383698E0
8.553663748E-1,-7.176077271E-1,6.391708374E0,7.364235992E0
8.653213750E-1,-7.324269104E-1,6.468798065E0,7.332352295E0
8.752763746E-1,-7.765850830E-1,6.490951996E0,7.361541595E0
8.852313748E-1,-8.114625549E-1,6.473288727E0,7.394024048E0
8.951863749E-1,-8.623567200E-1,6.482569427E0,7.406597900E0
9.051413750E-1,-8.515791321E-1,6.496640167E0,7.365134125E0
9.150963747E-1,-8.271798706E-1,6.533313904E0,7.318281555E0
9.250513748E-1,-7.526348877E-1,6.531966705E0,7.300917664E0
9.350063750E-1,-6.855743408E-1,6.536756744E0,7.284302216E0
9.449613746E-1,-5.981561279E-1,6.563251648E0,7.260950775E0
9.549163748E-1,-4.791535950E-1,6.563401337E0,7.311844940E0
9.648713749E-1,-3.927832031E-1,6.547085266E0,7.373067627E0
9.748263750E-1,-3.493734741E-1,6.533613281E0,7.414681091E0
9.847823749E-1,-2.752775574E-1,6.506819000E0,7.429350586E0
9.947373746E-1,-2.264790344E-1,6.489604797E0,7.405250702E0
1.004692375E0,-2.612068176E-1,6.445446625E0,7.379354553E0
1.014647375E0,-3.061134338E-1,6.427334290E0,7.368127899E0
1.024602375E0,-3.345542908E-1,6.424789581E0,7.341632996E0
1.034557375E0,-3.790118408E-1,6.449488220E0,7.332352295E0
1.044512375E0,-3.975732422E-1,6.453380127E0,7.328011322E0
1.054467375E0,-4.367916870E-1,6.484515381E0,7.358098755E0
1.064422375E0,-4.712200928E-1,6.527176666E0,7.363487549E0
1.074377375E0,-4.819976807E-1,6.554869080E0,7.321275330E0
1.084332375E0,-4.640350342E-1,6.570436707E0,7.314838715E0
1.094287375E0,-4.427792358E-1,6.601122894E0,7.288343811E0
1.104243375E0,-3.809577942E-1,6.613996124E0,7.297325134E0
1.114198375E0,-2.893482971E-1,6.588848419E0,7.305108948E0
1.124153375E0,-2.258802795E-1,6.580914917E0,7.301516418E0
1.134108375E0,-2.104623413E-1,6.530320129E0,7.295678558E0
1.144063375E0,-2.624043274E-1,6.504274292E0,7.311096497E0
1.154018375E0,-3.097059631E-1,6.507717133E0,7.356452179E0
1.163973375E0,-3.131488037E-1,6.507717133E0,7.379204865E0
1.173928375E0,-2.857557678E-1,6.503376160E0,7.381899261E0
1.183883375E0,-3.137475586E-1,6.491401062E0,7.376061401E0
1.193838375E0,-2.908451843E-1,6.493197327E0,7.359745331E0
1.203793375E0,-2.409988403E-1,6.497987366E0,7.355703735E0
1.213748375E0,-2.950364685E-1,6.494544525E0,7.345674591E0
1.223704375E0,-3.228785706E-1,6.548881531E0,7.347321167E0
1.233659375E0,-3.505709839E-1,6.549629974E0,7.340585175E0
