test_id,model_name,f1_score,accuracy,recall,precision
1,KNN Classifier,0.9841767427974325,0.9875,0.9914529914529915,0.9777777777777779
2,KNN Classifier,0.964957264957265,0.975,0.964957264957265,0.964957264957265
3,KNN Classifier,0.9301587301587301,0.9506172839506173,0.9218390804597701,0.9421009098428453
4,KNN Classifier,0.8802521008403361,0.8987341772151899,0.9015015015015014,0.8717483363581366
5,KNN Classifier,0.9381908621960205,0.95,0.9611111111111111,0.9259259259259259
6,KNN Classifier,0.9022556390977443,0.925,0.9145299145299145,0.893093093093093
7,KNN Classifier,0.9051434676434678,0.927710843373494,0.9125257883878574,0.9006759398916261
