"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.203686667E-1,-2.895367529E0,8.235005102E-1,4.173099339E-1,3.038988943E0
6.303396667E-1,-3.384537112E0,1.028790112E0,1.437737358E0,3.818453780E0
6.403096667E-1,-2.171758951E0,-1.034036819E0,1.753840175E0,2.976864868E0
6.502796667E-1,-2.806369983E0,-2.577784489E0,2.342352490E0,4.472952106E0
6.602496667E-1,-2.474440800E0,-3.123319477E0,3.543891572E0,5.332649370E0
6.702196667E-1,-1.617229337E0,-3.646733278E0,3.085309067E0,5.043136561E0
6.801896667E-1,-1.913584791E0,-3.655945274E0,2.471253190E0,4.809868494E0
6.901606667E-1,-6.815719217E-1,-2.956717393E0,3.116482328E0,4.349618388E0
7.001306667E-1,-7.482821473E-1,-2.634463305E0,3.696476419E0,4.600463128E0
7.101006667E-1,-1.502301144E0,-3.144819396E0,2.197182498E0,4.120001055E0
7.200706667E-1,-8.965528451E-2,-3.625459646E0,1.503439012E0,3.925853357E0
7.300406667E-1,1.436105035E-1,-3.765127701E0,-1.959378576E-1,3.772956695E0
7.400106667E-1,-9.179275246E-2,-3.683232476E0,-9.068803436E-1,3.794345706E0
7.499816667E-1,2.810576580E-1,-3.313129745E0,-2.565243673E-1,3.334910323E0
7.599516667E-1,-3.926408965E-1,-2.924768206E0,-4.749079317E-1,2.988975322E0
7.699216667E-1,-5.230123170E-1,-3.134020174E0,2.142221010E-1,3.184574609E0
7.798916667E-1,1.490929040E0,-2.207529731E0,1.976952968E0,3.317288042E0
7.898616667E-1,1.417885769E0,-8.801006806E-1,2.641581997E0,3.124569204E0
7.998316667E-1,1.154522644E0,-1.522724299E0,3.223429071E0,3.747279921E0
8.098026667E-1,1.449444069E0,-1.761231641E0,1.938454900E0,2.993398136E0
8.197726667E-1,6.008955850E-1,-1.879870184E0,5.277375251E-1,2.042913192E0
8.297426667E-1,7.473393568E-1,-1.975516891E0,1.504956365E-1,2.117506090E0
8.397126667E-1,4.156335737E-1,-1.794294137E0,-1.206567103E-1,1.845752085E0
8.496826667E-1,-5.932366461E-1,-1.282301994E0,-7.109109110E-1,1.581651809E0
8.596526667E-1,-8.003102336E-2,2.262699965E-1,-1.906864733E-1,3.065361432E-1
8.696226667E-1,-1.100710938E-1,1.431298697E0,-3.090253472E-3,1.435528180E0
8.795936667E-1,-4.934414491E-1,1.102189918E0,-1.067008098E0,1.611463112E0
8.895636667E-1,5.318844435E-1,5.574647695E-1,-2.134499177E0,2.269307111E0
8.995336667E-1,4.390647556E-1,2.635521358E-1,-2.216508715E0,2.274895266E0
9.095036667E-1,2.760443101E-1,7.835482398E-1,-2.750983402E0,2.873683696E0
9.194736667E-1,3.953783436E-1,8.437906408E-1,-1.898071690E0,2.114469867E0
9.294436667E-1,-3.156221028E-1,1.876300752E0,-4.381681216E-1,1.952463348E0
9.394146667E-1,-6.857944885E-1,3.034441214E0,-7.408235121E-1,3.197962951E0
9.493846667E-1,-9.660484649E-1,3.722359411E0,-9.507636970E-1,3.961459432E0
9.593545417E-1,-1.067338028E0,3.021201364E0,1.877628654E-1,3.209692047E0
9.693245417E-1,-1.274468187E0,1.519226202E0,7.449826366E-1,2.118328714E0
9.792945417E-1,-1.268115333E0,8.491548765E-1,1.340588794E0,2.031344091E0
9.892645417E-1,-9.592585319E-1,1.061377230E0,1.965784786E0,2.431256543E0
9.992355417E-1,-5.829124367E-1,2.634043474E0,8.845714617E-1,2.839091158E0
1.009205542E0,-1.574805741E-1,3.481117035E0,-1.067151940E-1,3.486310955E0
1.019175542E0,7.773434669E-2,3.539362319E0,-1.833266999E0,3.986727498E0
1.029145542E0,3.782580616E-1,2.298381136E0,-3.684550438E0,4.359076386E0
1.039115542E0,4.972763821E-1,1.700637237E0,-4.176255666E0,4.536580452E0
1.049085542E0,4.030400234E-1,1.244290414E0,-3.095634665E0,3.360603201E0
1.059056542E0,3.685141153E-1,1.525145923E0,-1.767568268E0,2.363508054E0
1.069026542E0,3.358337346E-1,2.696462794E0,-6.560014629E-1,2.795359336E0
1.078996542E0,9.621977811E-1,3.691379693E0,4.039525545E-1,3.836050870E0
1.088966542E0,8.915616618E-1,3.879198985E0,9.544585526E-2,3.981479231E0
1.098936542E0,1.605192551E0,2.530054837E0,-2.164709401E-1,3.004110563E0
1.108906542E0,2.067217459E0,1.691763795E0,-9.093683338E-1,2.821773118E0
