"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.778935161863000E9,"2026-05-16 14:39:21.863 UTC+02:00"
"PAUSE",3.000748241669498E1,1.778935191870000E9,"2026-05-16 14:39:51.870 UTC+02:00"
