"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.778934551932000E9,"2026-05-16 14:29:11.932 UTC+02:00"
"PAUSE",3.001052783330670E1,1.778934581943000E9,"2026-05-16 14:29:41.943 UTC+02:00"
