"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.778937638159000E9,"2026-05-16 15:20:38.159 UTC+02:00"
"PAUSE",3.868503250007052E0,1.778937642028000E9,"2026-05-16 15:20:42.028 UTC+02:00"
