"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.781181291885182E9,"2026-06-11 14:34:51.885 UTC+02:00"
"PAUSE",2.034565637493506E1,1.781181312230983E9,"2026-06-11 14:35:12.231 UTC+02:00"
