"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.141029171E-2,1.344017162E0,1.619582841E0,-1.855388185E0,2.805689938E0
2.137929166E-2,1.394557132E0,1.817574826E0,-2.943549170E0,3.729993239E0
3.134929168E-2,7.011025722E-1,3.851148722E-1,-8.053071910E-1,1.135067378E0
4.131829168E-2,7.794948768E-1,-1.577192867E-1,1.909933936E0,2.068897116E0
5.128829170E-2,-2.440761751E-1,1.440433802E0,-8.156479919E-1,1.673231712E0
6.125729170E-2,-6.034933202E-1,1.302372854E0,8.299906272E-1,1.658090371E0
7.122729172E-2,-1.194924492E0,1.163469615E0,1.026847667E0,1.958551051E0
8.119629166E-2,-1.713576541E0,1.266221566E0,-5.782218003E-1,2.207714217E0
9.116629168E-2,-1.345148891E0,7.253690287E-1,-9.963819194E-1,1.824380085E0
1.011352917E-1,-1.137302302E0,-5.924150392E-1,-1.342994923E0,1.856891884E0
1.111052917E-1,-8.572764397E-1,-7.019108766E-1,-1.378017991E0,1.768201164E0
1.210742917E-1,-5.956327986E-1,1.955417088E-1,-1.366713569E0,1.503635916E0
1.310442917E-1,2.281009972E-1,-1.014089335E0,8.030226839E-1,1.313488742E0
1.410132917E-1,6.610326631E-2,-1.532385946E0,2.961047548E-1,1.562131350E0
1.509832917E-1,9.346483687E-2,-5.899612552E-1,9.682334232E-1,1.137658086E0
1.609522917E-1,3.460684086E-1,-5.103537530E-2,1.849950859E0,1.882733686E0
1.709212917E-1,1.094783871E-1,-7.218817493E-1,1.751974329E0,1.898028668E0
1.808912917E-1,-2.067572348E-1,-1.927363901E0,3.797901052E0,4.263980835E0
1.908602917E-1,-8.181769858E-1,-1.552353310E0,-2.095825692E0,2.733441002E0
2.008302917E-1,4.094485717E-1,-1.228222266E0,-9.571763384E-1,1.610082175E0
2.107992917E-1,-1.378835943E-1,-1.888815547E0,2.058989403E0,2.797512005E0
2.207692917E-1,-2.689014062E-1,1.635929610E0,2.140874396E0,2.707751250E0
2.307382917E-1,2.168890343E-1,2.669054263E0,-6.273571229E-1,2.750357881E0
