"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.778937267317000E9,"2026-05-16 15:14:27.317 UTC+02:00"
"PAUSE",5.568653083348181E0,1.778937272886000E9,"2026-05-16 15:14:32.886 UTC+02:00"
