"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.779268664402093E9,"2026-05-20 11:17:44.402 UTC+02:00"
"PAUSE",3.533217570837587E1,1.779268699733874E9,"2026-05-20 11:18:19.734 UTC+02:00"
