"event","experiment time","system time","system time text"
"START",0.000000000E0,1779737506.391,"2026-05-25 21:31:46.391 UTC+02:00"
"PAUSE",2.462311200E1,1779737531.014,"2026-05-25 21:32:11.014 UTC+02:00"
