Time (s),Latitude (°),Longitude (°),Height (m),Velocity (m/s),Direction (°),Horizontal Accuracy (m),Vertical Accuracy (m)
0.554219685,45.08370333,9.201235,62.33779079,0.004117777571,207.4499969,1.799999952,9.5
1.054219685,45.08370333,9.201236667,62.33779457,0.007720833179,189.8500061,1.799999952,9.399999619
1.851219685,45.08370333,9.201245,62.23781351,0.03242750093,125.3199997,1.600000024,8.899999619
2.351219685,45.08370833,9.201248333,62.337806,0.07257582992,50.88000107,1.5,9.199999809
2.851219685,45.08371,9.201248333,62.53780097,0.038089443,45.91999817,1.399999976,9.600000381
3.351219685,45.08371167,9.20125,62.33779973,0.09573833644,60.40999985,1.299999952,9.899999619
4.351219685,45.08371167,9.20125,62.33779973,0.04220722243,39.20999908,1.299999952,9.899999619
5.851219685,45.08371167,9.20125,62.43779973,0.02470666729,179.3300018,1.299999952,7.300000191
6.851219685,45.08371167,9.201248333,62.53779594,0.144122228,349.7200012,1.299999952,7.099999905
7.851219685,45.08371833,9.20125,62.53777961,0.6737713814,20.80999947,1.299999952,7.099999905
8.851219685,45.08372667,9.20125,62.73775447,1.237906933,356.2000122,1.299999952,6.699999809
9.851219685,45.08373833,9.201251667,62.93772306,1.507621408,8.970000267,1.399999976,6.400000095
10.85121968,45.08375167,9.201258333,62.93769798,1.898295522,23.48999977,1.399999976,6.199999809
11.85121968,45.083765,9.201265,62.8376729,2.035211563,7.980000019,1.5,6.199999809
12.85121968,45.083785,9.201268333,62.53762013,2.310588121,9.289999962,1.5,6.099999905
13.85121968,45.083805,9.201275,62.23757493,2.432577133,11.06000042,1.5,6.0
14.85121968,45.08382333,9.201276667,61.7375234,2.232350349,8.659999847,1.5,6.0
15.85121968,45.08384,9.201276667,61.53747311,2.252424479,3.160000086,1.5,6.0
16.85121968,45.08386333,9.20128,61.53741028,2.405811548,5.340000153,1.399999976,5.900000095
17.85121968,45.08388333,9.201286667,61.43736509,2.397576094,13.65999985,1.5,5.900000095
18.85121968,45.08390333,9.201293333,61.43731989,2.433606625,9.619999886,1.5,5.800000191
19.85121968,45.08392667,9.201298333,61.13726085,2.072786331,11.0,1.5,5.800000191
20.85121968,45.083945,9.201303333,61.13721689,2.288969755,9.329999924,1.399999976,5.800000191
21.85121968,45.08396333,9.20131,61.23717672,2.30080843,9.890000343,1.5,5.800000191
22.85121968,45.08398333,9.201313333,61.43712395,2.268895626,8.979999542,1.399999976,5.900000095
23.85121968,45.08400167,9.201318333,61.33707999,2.230806112,7.199999809,1.5,5.900000095
24.85121968,45.08402333,9.20132,61.6370184,2.223599911,12.47000027,1.399999976,5.800000191
25.85121968,45.08404333,9.201323333,61.83696563,2.226688385,8.470000267,1.5,5.900000095
26.85121968,45.08406667,9.201321667,61.93689144,2.209702492,8.380000114,1.5,5.900000095
27.85121968,45.08408667,9.201323333,62.33683488,2.179848671,357.4500122,1.5,5.900000095
28.85121968,45.08410667,9.201323333,62.33677453,2.139185667,7.320000172,1.399999976,5.900000095
29.85121968,45.08412667,9.201325,62.33671797,2.135582447,0.2399999946,1.5,6.0
30.85121968,45.08414667,9.201326667,62.33666141,2.145362139,4.46999979,1.5,6.0
31.85121968,45.084165,9.20133,62.33661367,2.154112577,2.190000057,1.5,6.099999905
32.85121969,45.08418167,9.201336667,62.33657853,2.182422161,9.720000267,1.5,5.699999809
33.85121969,45.08420333,9.201346667,62.63653587,2.206614256,9.039999962,1.5,5.699999809
34.85121969,45.08422667,9.201346667,62.73646546,2.222055912,7.800000191,1.5,5.699999809
35.85121969,45.08424667,9.201348333,62.6364089,2.218452692,0.0700000003,1.5,5.699999809
36.85121969,45.08426667,9.201348333,62.33634856,2.235438585,5.860000134,1.5,5.599999905
37.85121969,45.08428667,9.201351667,62.73629578,2.259630442,10.85000038,1.5,5.599999905
38.85121969,45.084305,9.201358333,62.93625561,2.276616335,5.920000076,1.5,5.599999905
