"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.541900635E-2,4.550102797E1,9.156903784E0,1.325845270E2,NaN,NaN,2.656452394E1,2.506208565E2
1.640701294E-2,4.550102808E1,9.156884484E0,1.325846071E2,NaN,NaN,2.967158646E1,2.506212636E2
8.323800564E-2,4.550102856E1,9.156885337E0,1.325842447E2,NaN,NaN,2.967795344E1,2.506212636E2
1.771276951E0,4.550128938E1,9.156948863E0,1.211035347E2,0.000000000E0,NaN,1.080068586E1,2.400000000E1
2.771275640E0,4.550125692E1,9.156972338E0,1.308986397E2,0.000000000E0,NaN,9.010200510E0,4.000000000E0
3.771273375E0,4.550122104E1,9.156998221E0,1.310927925E2,0.000000000E0,NaN,8.464479127E0,4.000000000E0
4.771272540E0,4.550120551E1,9.157007002E0,1.311596870E2,1.599999964E-1,NaN,7.638019437E0,4.000000000E0
5.771270990E0,4.550120137E1,9.157035285E0,1.313595161E2,1.599999964E-1,7.031250000E1,6.674376968E0,4.000000000E0
6.771269679E0,4.550119113E1,9.157082695E0,1.318980904E2,2.089999914E0,7.312500000E1,5.527164780E0,4.000000000E0
7.771302938E0,4.550118928E1,9.157117002E0,1.319021187E2,2.089999914E0,7.312500000E1,4.620017019E0,4.000000000E0
8.771297455E0,4.550117092E1,9.157169624E0,1.318949165E2,2.089999914E0,7.242187500E1,3.884880525E0,4.000000000E0
9.771293402E0,4.550115070E1,9.157213810E0,1.317285957E2,2.170000076E0,7.417968750E1,3.673815324E0,4.000000000E0
1.077128863E1,4.550115370E1,9.157251506E0,1.322148628E2,2.269999981E0,7.382812500E1,3.523261350E0,3.000000000E0
1.177128637E1,4.550115767E1,9.157288884E0,1.324660835E2,2.400000095E0,7.453125000E1,3.663266698E0,3.000000000E0
1.277128494E1,4.550116231E1,9.157322089E0,1.324593697E2,2.269999981E0,7.453125000E1,3.520334781E0,3.000000000E0
1.377128255E1,4.550116750E1,9.157350586E0,1.324593701E2,2.269999981E0,7.453126997E1,3.031829203E0,3.900063522E0
1.477128053E1,4.550117196E1,9.157375324E0,1.324039502E2,2.230000019E0,7.453126961E1,3.128974283E0,3.578193088E0
1.577127993E1,4.550117582E1,9.157404953E0,1.323274731E2,2.230000019E0,7.417970708E1,3.538129830E0,3.988917784E0
1.677128232E1,4.550118086E1,9.157435489E0,1.323079419E2,2.349999905E0,7.453127067E1,3.745963900E0,4.029364438E0
