"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.778938492947000E9,"2026-05-16 15:34:52.947 UTC+02:00"
"PAUSE",3.000581954169320E1,1.778938522953000E9,"2026-05-16 15:35:22.953 UTC+02:00"
