"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.778939227708000E9,"2026-05-16 15:47:07.708 UTC+02:00"
"PAUSE",3.000688058335800E1,1.778939257715000E9,"2026-05-16 15:47:37.715 UTC+02:00"
