"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.072660833E-1,-4.909544091E-1,3.526116621E-1,-1.570165098E0,1.682495067E0
7.172360834E-1,-2.021349743E-1,1.453526595E0,-2.443858400E0,2.850621334E0
7.272060834E-1,-1.126429112E0,2.881059392E0,-2.354109487E0,3.887309769E0
7.371760834E-1,-8.329102881E-1,2.185226404E0,-9.168422449E-1,2.511882498E0
7.471460833E-1,-3.080505067E-1,5.467383447E-1,8.481169957E-1,1.055045198E0
7.571160833E-1,-1.799812739E0,6.908315724E-1,1.500568029E0,2.443006051E0
7.670850834E-1,-2.038432055E0,2.180116814E0,3.163542473E-1,3.001365452E0
7.770550834E-1,-9.327043522E-1,8.981498659E-1,-1.008054131E-1,1.298757992E0
7.870250834E-1,-5.191661648E-1,-2.913906418E0,-4.328208429E-1,2.991273642E0
7.969950833E-1,4.305989740E-1,-6.242047720E0,-1.058856495E0,6.345845278E0
8.069650833E-1,3.529899039E-1,-2.157562349E0,-3.318800082E0,3.974180563E0
8.169350834E-1,4.811278342E-1,8.810165300E0,-4.253261157E0,9.794933745E0
8.269040834E-1,1.151725044E0,1.091755620E1,-1.154363746E0,1.103866204E1
8.368740834E-1,8.817012828E-1,4.252670881E0,3.235683081E0,5.415925754E0
8.468440833E-1,1.469242887E0,-7.523627583E0,4.107161458E0,8.696690284E0
8.568140834E-1,1.101360052E0,-1.124493011E1,2.376542330E-1,1.130123563E1
8.667840834E-1,-2.682434118E-1,-3.860982861E0,-3.254670745E0,5.056878962E0
8.767540834E-1,-1.972710374E0,1.595307249E0,-4.760615873E-1,2.581322543E0
8.867230833E-1,-2.721010575E0,-2.606127405E-1,4.426876100E0,5.202792476E0
8.966930833E-1,-2.378627593E0,-3.310489142E0,4.719781258E0,6.236468769E0
9.066630834E-1,-2.704541015E0,-1.787846120E0,2.421108053E0,4.046319322E0
9.166330834E-1,-1.964528365E0,5.419944987E-1,8.647230881E-1,2.213792166E0
9.266030834E-1,-6.392158610E-1,1.371975478E0,1.291743493E0,1.989852980E0
9.365720833E-1,4.722908641E-1,7.556371406E-1,1.845083637E0,2.048994821E0
9.465420833E-1,5.981039415E-1,2.722712114E-1,1.318468777E0,1.473166607E0
9.565120834E-1,6.004767051E-1,1.664350294E0,-5.402657694E-1,1.850005750E0
9.664820834E-1,6.243508501E-1,1.922951300E0,-1.820889612E0,2.720881230E0
9.764520833E-1,3.050804136E-1,1.041897523E0,-2.179678273E0,2.435081494E0
9.864220833E-1,7.074341565E-2,7.227132234E-1,-1.964594293E0,2.094504660E0
9.963910833E-1,2.083362937E-1,4.081029081E-1,-1.526425586E0,1.593714863E0
1.006361083E0,5.522369932E-1,1.489665896E0,-2.272906280E0,2.773116141E0
1.016331083E0,7.407319301E-1,2.247971998E0,-2.415233940E0,3.381629324E0
1.026301083E0,1.057340897E0,1.788060420E0,-9.072364390E-1,2.266761521E0
1.036271083E0,1.177886071E0,1.871539072E0,-7.820680171E-1,2.345571247E0
1.046241083E0,1.429647004E0,2.006872585E0,-8.781260759E-1,2.615823682E0
1.056210083E0,1.313266802E0,1.374122576E0,-2.416396952E-1,1.916056441E0
1.066180083E0,1.187978804E0,1.303579427E0,-6.285920548E-1,1.872362394E0
1.076150083E0,1.096416669E0,1.398264852E0,-1.180096757E0,2.133050038E0
1.086120083E0,5.893861815E-1,1.339074365E0,-1.128718443E0,1.847836992E0
1.096090083E0,2.595005453E-1,1.436492486E0,-7.978303564E-1,1.663545753E0
1.106060083E0,-1.605726548E-1,1.651544307E0,-5.016940266E-1,1.733516389E0
1.116029083E0,-2.286738051E-1,1.050147360E0,4.263508987E-1,1.156233659E0
1.125999083E0,-1.045143203E-1,4.029675910E-1,1.607130611E-1,4.462452359E-1
1.135969083E0,-3.931713486E-1,-2.107775062E-2,-9.799114823E-2,4.057465293E-1
1.145939083E0,-4.689838617E-1,-2.450439441E-1,-6.119830388E-1,8.090214069E-1
1.155909083E0,-1.907698692E-1,-3.692388046E-1,-6.921770167E-1,8.073657537E-1
1.165879083E0,-2.831046220E-1,-4.888415542E-1,2.608694333E-1,6.222275736E-1
1.175848083E0,8.121217920E-2,-3.392469737E-1,5.832685322E-1,6.796220331E-1
1.185818083E0,4.035149635E-1,-2.442291346E-1,1.285857686E0,1.369635785E0
1.195788083E0,1.203239745E0,-1.472258735E-1,2.446607761E0,2.730448841E0
