"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.306416678E-3,1.685494995E-1,6.098767548E0,7.711064758E0
1.326441660E-2,2.339634705E-1,6.112538910E0,7.840096436E0
2.322241664E-2,2.411485291E-1,6.131100311E0,7.891289978E0
3.317941667E-2,2.303709412E-1,6.109694824E0,7.820038147E0
4.313741659E-2,2.374063110E-1,6.072871399E0,7.723488922E0
5.309541663E-2,2.456391907E-1,6.048023071E0,7.606132965E0
6.305241666E-2,2.595602417E-1,6.061045990E0,7.578141174E0
7.301041659E-2,3.417393494E-1,6.060896301E0,7.639214172E0
8.296841662E-2,3.755690002E-1,6.067332916E0,7.792944489E0
9.292541665E-2,3.857478333E-1,6.065836029E0,7.892038422E0
1.028834167E-1,3.743714905E-1,6.035149841E0,7.901917877E0
1.128414166E-1,3.826043701E-1,6.030060425E0,7.777825928E0
1.227984166E-1,3.848497009E-1,6.031407623E0,7.636070709E0
1.327564167E-1,3.942800903E-1,6.036047974E0,7.557184753E0
1.427144166E-1,3.397933960E-1,6.013295288E0,7.645950165E0
1.526714166E-1,2.472857666E-1,6.005810852E0,7.783963165E0
1.626294167E-1,1.333726501E-1,5.990692291E0,7.903115387E0
1.725874166E-1,1.122665405E-1,5.993686066E0,7.898624725E0
1.825454166E-1,1.844165039E-1,6.016438751E0,7.769742737E0
1.925024167E-1,2.423460388E-1,6.037694550E0,7.644153900E0
2.024604166E-1,2.336640930E-1,6.034700775E0,7.647896118E0
2.124184166E-1,2.055226135E-1,6.027366028E0,7.741152191E0
2.223754167E-1,1.689985657E-1,6.022725677E0,7.859705658E0
2.323334166E-1,1.651066589E-1,6.023025055E0,7.915689240E0
2.422914166E-1,1.859133911E-1,6.023324432E0,7.836803284E0
2.522484167E-1,1.947450256E-1,6.038742371E0,7.673642578E0
2.622064167E-1,1.613644409E-1,6.024521942E0,7.598947906E0
2.721644166E-1,1.513352966E-1,6.006708984E0,7.654482422E0
2.821214166E-1,1.697470093E-1,6.027665405E0,7.787406006E0
2.920794167E-1,1.691482544E-1,6.048023071E0,7.890242157E0
3.020374166E-1,1.540296936E-1,6.048621826E0,7.871231689E0
3.119944166E-1,5.209167480E-2,6.022875366E0,7.811056824E0
3.219524167E-1,-5.912704468E-2,5.951773224E0,7.729775848E0
3.319104166E-1,-9.520202637E-2,5.939648438E0,7.669451294E0
3.418684166E-1,-1.380130005E-1,6.002068634E0,7.666756897E0
3.518254167E-1,-8.562194824E-2,6.036646729E0,7.716303864E0
3.617834166E-1,-8.981323242E-3,6.051316223E0,7.792794800E0
3.717414166E-1,4.864883423E-2,6.081253967E0,7.829318848E0
3.816984167E-1,8.143066406E-2,6.069877625E0,7.810757446E0
3.916564166E-1,4.790039063E-2,6.033353577E0,7.762258301E0
4.016144166E-1,1.197509766E-3,6.039490814E0,7.690258026E0
4.115714167E-1,-5.987548828E-4,6.069727936E0,7.598049774E0
4.215294167E-1,4.505630493E-2,6.083948364E0,7.630232849E0
