"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.778936133343000E9,"2026-05-16 14:55:33.343 UTC+02:00"
"PAUSE",3.000645208329661E1,1.778936163349000E9,"2026-05-16 14:56:03.349 UTC+02:00"
