"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.120749956E-3,-1.815463981E0,-1.379692926E0,2.480346780E0,3.369210914E0
1.309074997E-2,-1.860588260E0,-2.147709206E0,2.501028382E0,3.785444026E0
2.305974998E-2,-1.750054980E0,-1.751166828E0,1.577002832E0,2.935339099E0
3.302974999E-2,-1.908734672E0,-4.225665808E-1,1.378434312E-1,1.959803912E0
4.299975000E-2,-1.223587470E0,8.711947864E-1,-1.413502403E0,2.062555623E0
5.296874995E-2,-7.459620452E-1,1.199268608E0,-2.201381384E0,2.615489354E0
6.293874996E-2,3.471446617E-1,1.325891232E0,-2.125703210E0,2.529251098E0
7.290874998E-2,1.013423922E0,1.406519659E0,-1.583378052E0,2.347852561E0
8.287774998E-2,1.406220427E0,1.233842025E0,-1.810963964E0,2.603730499E0
9.284775000E-2,1.556350759E0,1.194188547E0,-2.001429997E0,2.802505309E0
1.028177500E-1,1.845942739E0,1.229409251E0,-1.594660839E0,2.731646919E0
1.127877500E-1,2.247553922E0,1.417912374E0,-8.267202795E-1,2.783063160E0
1.227567500E-1,2.097515392E0,1.775593572E0,-3.345712477E-1,2.768436611E0
1.327267500E-1,1.392464122E0,2.372382328E0,-1.225569969E0,3.011507262E0
1.426967500E-1,6.356780031E-1,2.242348146E0,-7.774750292E-1,2.456965436E0
1.526657500E-1,6.183520453E-1,1.775177542E0,4.255311191E-2,1.880272673E0
1.626357500E-1,3.407631567E-1,1.559990066E0,-7.890870148E-1,1.781108321E0
1.726057500E-1,5.546448401E-1,2.180181718E0,-3.032085371E-1,2.269968863E0
1.825747500E-1,1.033413652E0,3.208339454E0,-6.540461540E-1,3.433534942E0
1.925447500E-1,9.189938740E-1,3.673620238E0,-5.293887788E-1,3.823648502E0
2.025147500E-1,1.983580933E0,3.034841456E0,3.216407150E-1,3.639822623E0
2.124837500E-1,1.801126024E0,1.576540610E0,-2.533487445E-1,2.407014922E0
2.224537500E-1,1.270698341E0,8.175307953E-1,-1.712652973E0,2.283902599E0
2.324237500E-1,1.028865541E0,1.015568388E0,-1.669452574E0,2.208396556E0
2.423937500E-1,4.245116936E-1,1.628631992E0,-1.694872175E0,2.388565267E0
2.523627500E-1,-3.329824861E-1,3.655753193E0,-2.492531208E0,4.437129767E0
2.623327500E-1,-4.873886673E-1,5.274648110E0,-1.901190594E0,5.627964647E0
2.723027500E-1,-4.189747824E-1,4.704596039E0,-2.041782802E0,5.145642892E0
2.822717500E-1,9.309626129E-2,3.159848787E0,-2.186116642E0,3.843490243E0
2.922417500E-1,7.473637690E-1,1.645502964E0,-1.702833159E0,2.483117672E0
3.022117499E-1,5.177100984E-1,1.551137089E0,-2.444182920E0,2.940761834E0
3.121807500E-1,6.391949572E-2,2.850689539E0,-2.343697350E0,3.690993608E0
3.221507500E-1,-6.893577086E-1,3.914732514E0,-2.455445243E0,4.672211045E0
3.321207500E-1,-1.601318625E0,3.522584611E0,-2.172476842E0,4.437620906E0
3.420907500E-1,-2.496668405E0,2.127841537E0,-1.832370036E0,3.757478234E0
3.520597500E-1,-2.438760505E0,8.078630090E-1,-1.641437979E0,3.048690552E0
3.620297500E-1,-3.000098178E0,4.735961089E-1,-1.256727442E0,3.286981323E0
3.719997500E-1,-2.745004039E0,1.275247328E0,-1.327292225E0,3.304997364E0
3.819687500E-1,-1.767618700E0,2.885379023E0,-2.261191968E0,4.069751478E0
3.919387500E-1,-3.355326761E0,2.912401637E0,-2.095092452E0,4.912200459E0
4.019087500E-1,-3.073543592E0,2.088955214E0,-1.014424673E0,3.852202164E0
4.118777500E-1,-3.806284498E0,1.179106239E0,-1.893275803E-1,3.989227761E0
4.218477500E-1,-4.791930929E0,4.012242436E-2,6.828010064E-1,4.840498843E0
4.318183333E-1,-5.274175070E0,-9.517662022E-1,1.629685661E0,5.601665549E0
4.417883333E-1,-5.509965211E0,-1.138064925E0,1.440669737E0,5.807791119E0
4.517573333E-1,-5.645280890E0,-1.979905519E0,5.829913741E-1,6.010748800E0
4.617273333E-1,-4.733245642E0,-2.342460372E0,3.680307698E-1,5.293975967E0
