"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.031801667E-1,3.359500942E-1,-1.728290766E-2,-1.468235850E0,1.506279415E0
7.131501667E-1,1.076179602E0,-2.108754179E0,5.647960085E-1,2.433927126E0
7.231201667E-1,9.072804393E-1,-7.115120047E-1,-7.911236000E-1,1.398314585E0
7.330901667E-1,6.498210291E-1,2.752223012E0,-1.339798835E0,3.129226709E0
7.430611667E-1,8.769100743E-1,4.290662580E0,-3.014187044E-1,4.389716379E0
7.530311667E-1,1.125437863E0,2.876548265E0,-2.706512403E-1,3.100708370E0
7.630011667E-1,4.433917317E-1,3.246227950E-1,-1.824813094E0,1.905759433E0
7.729711666E-1,3.625308788E-1,-2.303406526E0,-2.080963240E0,3.125302908E0
7.829411667E-1,1.931956597E-1,-1.804030043E0,-1.238197616E0,2.196584234E0
7.929121667E-1,-1.963058668E-1,1.696984482E0,-3.501686954E-1,1.743820644E0
8.028821667E-1,3.592687903E-1,2.539706251E0,1.560134200E0,3.002199299E0
8.128521667E-1,3.840495095E-2,-2.184294650E-1,1.657648215E0,1.672418601E0
8.228221667E-1,8.228859678E-2,-1.950746332E0,-5.810904443E-2,1.953345675E0
8.327921667E-1,-1.424455554E-1,-7.911200917E-1,-9.220953834E-1,1.223283136E0
8.427631667E-1,-1.109774487E-1,1.165327568E0,-3.081178594E-1,1.210471375E0
8.527331667E-1,3.144772180E-1,1.343860896E0,9.424740994E-1,1.671261636E0
8.627031667E-1,3.402212660E-1,4.259608895E-2,7.698362267E-1,8.427412133E-1
8.726731667E-1,7.264819732E-1,-7.723174927E-1,-9.478973919E-1,1.422237615E0
8.826441666E-1,4.149483897E-2,-8.254856399E-1,-1.236456315E0,1.487270178E0
8.926141667E-1,2.677681976E-1,3.429912382E-1,-9.189934355E-1,1.016804667E0
9.025841667E-1,3.921619365E-1,9.484765586E-1,-4.519102478E-1,1.121437309E0
