"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
5.351066589E-3,4.550115767E1,9.156988884E0,1.342245193E2,NaN,NaN,5.949263529E1,1.318147663E2
8.754014969E-3,4.550107352E1,9.156546585E0,1.360345766E2,NaN,NaN,3.663008048E1,7.072590653E1
8.754014969E-3,4.550107352E1,9.156546585E0,1.360345766E2,NaN,NaN,3.663008048E1,7.072590653E1
4.430699348E-2,4.550107422E1,9.156548110E0,1.360342447E2,NaN,NaN,3.662007470E1,7.072590653E1
5.901854038E-1,4.550105125E1,9.157052681E0,1.545188179E2,2.300000042E-1,2.302734375E2,1.311471515E1,2.400000000E1
1.913184524E0,4.550105631E1,9.157100273E0,1.328984566E2,0.000000000E0,NaN,7.640630696E0,4.000000000E0
2.913182616E0,4.550105024E1,9.157138140E0,1.330278511E2,0.000000000E0,NaN,7.244033913E0,4.000000000E0
3.913180709E0,4.550104360E1,9.157161145E0,1.332500801E2,0.000000000E0,NaN,6.559617135E0,4.000000000E0
4.913179636E0,4.550104723E1,9.157168603E0,1.331893501E2,3.899999857E-1,7.875000000E1,5.770168421E0,4.000000000E0
5.913178205E0,4.550105388E1,9.157178680E0,1.333871040E2,1.480000019E0,7.839843750E1,4.333576218E0,4.000000000E0
6.913371205E0,4.550106119E1,9.157194091E0,1.335223579E2,1.480000019E0,7.699218750E1,3.795684422E0,4.000000000E0
7.913383842E0,4.550106948E1,9.157219000E0,1.332116890E2,1.840000033E0,6.996093750E1,3.617351143E0,4.000000000E0
8.913392901E0,4.550107850E1,9.157245354E0,1.330423775E2,2.170000076E0,7.101562500E1,3.552477161E0,4.000000000E0
9.913407803E0,4.550108852E1,9.157271661E0,1.328567085E2,2.190000057E0,6.960937500E1,3.548813262E0,4.000000000E0
1.091341150E1,4.550109940E1,9.157299846E0,1.326985054E2,2.190000057E0,6.925781250E1,3.709678218E0,4.000000000E0
1.291342759E1,4.550111744E1,9.157340716E0,1.321452217E2,2.440000057E0,7.277343750E1,4.480684509E0,3.000000000E0
1.391343582E1,4.550112434E1,9.157380878E0,1.321452222E2,2.440000057E0,7.277345877E1,3.371078187E0,3.926852027E0
1.491343915E1,4.550113036E1,9.157411992E0,1.317905469E2,2.440000057E0,7.382814639E1,3.642142249E0,3.536807130E0
1.591344607E1,4.550113417E1,9.157444891E0,1.316170850E2,2.440000057E0,7.804689678E1,3.923919434E0,4.483633416E0
1.691345620E1,4.550114108E1,9.157477268E0,1.317677198E2,2.480000019E0,7.242189658E1,4.133308683E0,3.908657203E0
1.791345906E1,4.550114866E1,9.157506154E0,1.318045850E2,2.339999914E0,7.101564519E1,4.222893094E0,4.004834025E0
1.891346300E1,4.550116003E1,9.157535663E0,1.317801710E2,2.500000000E0,6.609377086E1,4.296302215E0,4.029364438E0
1.991346967E1,4.550116857E1,9.157564943E0,1.318803907E2,2.380000114E0,6.925783281E1,4.357055660E0,3.875762259E0
2.091347253E1,4.550117706E1,9.157597886E0,1.318096510E2,2.500000000E0,7.207033421E1,4.436869305E0,4.029364438E0
2.191347766E1,4.550118418E1,9.157636788E0,1.317105299E2,2.490000010E0,7.523439697E1,4.748651530E0,4.029364438E0
2.291348314E1,4.550119318E1,9.157667342E0,1.317177320E2,2.509999990E0,7.136720921E1,4.748651530E0,4.029364438E0
2.391348684E1,4.550120053E1,9.157697875E0,1.319992261E2,2.490000010E0,7.242189666E1,4.748651530E0,4.029364438E0
2.491349113E1,4.550120905E1,9.157727043E0,1.318736768E2,2.460000038E0,7.066408368E1,4.748651530E0,4.029364438E0
2.591349518E1,4.550121501E1,9.157754010E0,1.319706006E2,2.250000000E0,7.277345711E1,4.748651530E0,4.029364438E0
2.691349828E1,4.550122611E1,9.157786958E0,1.320961500E2,2.569999933E0,6.855470933E1,4.748651530E0,4.029364438E0
2.791350126E1,4.550123549E1,9.157816492E0,1.320730176E2,2.480000019E0,6.820314601E1,4.748651530E0,4.029364438E0
2.891350389E1,4.550124639E1,9.157845804E0,1.318127637E2,2.480000019E0,6.503908302E1,2.176776651E1,3.000000000E0
2.991350675E1,4.550125434E1,9.157877267E0,1.317024122E2,2.500000000E0,6.750002108E1,2.176776651E1,3.000000000E0
3.091350925E1,4.550126393E1,9.157914332E0,1.317424514E2,2.799999952E0,6.890627384E1,2.176776651E1,3.000000000E0
3.191351080E1,4.550126976E1,9.157944472E0,1.317033888E2,2.500000000E0,7.171877166E1,2.176776651E1,3.000000000E0
3.291351295E1,4.550127759E1,9.157979749E0,1.318893019E2,2.680000067E0,7.207033577E1,2.176776651E1,3.000000000E0
3.391351378E1,4.550128183E1,9.158016140E0,1.329459502E2,2.539922231E0,7.730453151E1,1.424595457E1,7.990263074E0
3.491351593E1,4.550128230E1,9.158053328E0,1.329632326E2,2.726481510E0,7.549047344E1,1.424595455E1,8.002547838E0
3.591351676E1,4.550128388E1,9.158089100E0,1.327315473E2,2.640728859E0,7.102221539E1,1.424595455E1,8.081075872E0
3.691351831E1,4.550128659E1,9.158124196E0,1.331952598E2,2.606002936E0,7.093695004E1,1.424595456E1,7.830645199E0
3.791351950E1,4.550130361E1,9.158147427E0,1.331020526E2,2.815851021E0,7.158610436E1,1.424595454E1,1.425957973E1
3.891351950E1,4.550130731E1,9.158182023E0,1.332203622E2,2.811691876E0,7.435242649E1,1.424595452E1,1.432864663E1
3.991352069E1,4.550131436E1,9.158214248E0,1.327863950E2,2.722741219E0,7.426701799E1,1.424595451E1,1.430431506E1
4.091352034E1,4.550132588E1,9.158247154E0,1.329514207E2,2.784384911E0,6.790455070E1,1.424595450E1,1.414278383E1
4.191352224E1,4.550133302E1,9.158283208E0,1.325830454E2,2.738090342E0,6.968449850E1,1.424595449E1,1.400346263E1
4.291352212E1,4.550134191E1,9.158320801E0,1.326872006E2,2.923681991E0,6.994022142E1,1.424595447E1,1.404148421E1
4.391352153E1,4.550135217E1,9.158352971E0,1.325884430E2,2.765271979E0,6.727116364E1,1.424595446E1,1.396333252E1
4.491352212E1,4.550135693E1,9.158389022E0,1.321838895E2,2.747996902E0,7.283776696E1,1.424595444E1,1.416682651E1
4.591352212E1,4.550136516E1,9.158426426E0,1.319748964E2,2.927332866E0,7.443403004E1,1.424595437E1,1.401745765E1
4.691352248E1,4.550137613E1,9.158445432E0,1.322508820E2,2.297605013E0,6.427270541E1,1.424595436E1,1.409338863E1
4.791352153E1,4.550138496E1,9.158487131E0,1.317365987E2,2.794015965E0,6.815912110E1,1.424595433E1,1.425122404E1
4.891352129E1,4.550139475E1,9.158519334E0,1.318528276E2,2.765048947E0,6.817167024E1,1.424595445E1,1.414976667E1
