surface,measurement_id,n_windows,acf_stable_percentage,acf_error_mean,az_avg_mean,az_avg_std,az_avg_mean_deviation,az_avg_stable_percentage,az_std_mean,az_std_std,az_std_mean_deviation,az_std_stable_percentage,az_rms_mean,az_rms_std,az_rms_mean_deviation,az_rms_stable_percentage,spec_energy_mean,spec_energy_std,spec_energy_mean_deviation,spec_energy_stable_percentage
Grass,Grass_3,24,70.83333333333334,0.8623270368743136,0.002032267697892209,0.08517959618792773,0.7378784893600342,95.83333333333334,1.7329614586042787,0.9390823670599145,0.7380850257925419,100.0,1.7324906073157222,0.9384572987884705,0.7377275205324533,100.0,1.442666107863136,1.4243755699765646,0.7252807765108251,95.83333333333334
Grass,Grass_4,23,73.91304347826086,0.9039859355838111,0.0015864740864284966,0.08996693479675201,0.7397215214634273,95.65217391304348,1.6241321471835912,0.9359252067939393,0.8059363040068392,95.65217391304348,1.6239283274260983,0.9357199533427539,0.8058784687198706,95.65217391304348,1.4557628649030456,1.4839392123837591,0.6445518536500449,95.65217391304348
Grass,Grass_5,23,60.86956521739131,1.0136986805563786,-0.0012719040833910344,0.06304349617425248,0.7480249834660573,95.65217391304348,1.6737277294969206,0.9333169395778237,0.8460441264590983,100.0,1.6726726794992934,0.9322852322666955,0.8462518832828185,100.0,1.0994962106250203,0.8822292071828997,0.8482128355896199,100.0
Grass,Grass_6,21,52.38095238095239,1.0302570320889752,0.005328423885439405,0.07417892341870873,0.7494506977852756,95.23809523809523,1.869118413134315,1.1272689687360764,0.7887302523917923,100.0,1.8679345298495278,1.1262524231723352,0.7886854580441817,100.0,1.7389803026608734,1.5522799892376138,0.7687431505058877,95.23809523809523
Grass,Grass_8,22,50.0,1.0042344150159945,0.0002496484143031002,0.10725968702856613,0.7305283377788279,100.0,2.031498734270839,1.2474017862565467,0.8440509851162538,100.0,2.0309522267341644,1.2469965672050691,0.8441326223400332,100.0,2.148948184013639,1.887162030627826,0.8062619295061381,95.45454545454545
Grass,Grass_9,21,76.19047619047619,0.9255292983488376,-0.0011013657572563377,0.10611444702331094,0.6555119676386899,90.47619047619048,2.087033428496305,1.3437930442158734,0.8450929806527534,100.0,2.0865117824117427,1.3428429843822138,0.8454058736754045,100.0,2.296141045724994,2.3299890821535882,0.8068255395036643,95.23809523809523
Rough_asphalt,Rough_asphalt_1,39,100.0,0.5118896126485786,-0.0057858397900679105,0.09705963354152218,0.7998991401045554,94.87179487179486,6.423211861026123,1.5730836939309327,0.7863246185884781,94.87179487179486,6.391842646923097,1.5652358263562216,0.786365885849935,94.87179487179486,15.1520307289835,7.387287274700962,0.8271481772455698,97.43589743589743
Rough_asphalt,Rough_asphalt_2,39,100.0,0.5022560058032436,0.017862114350666623,0.21901604352849835,0.665177922199748,94.87179487179486,6.6582865092428305,1.9468646439212143,0.8012398383874954,97.43589743589743,6.628234331591659,1.9386152681275826,0.800971048062263,97.43589743589743,17.163566280959,11.960062053851841,0.836828518237206,92.3076923076923
Rough_asphalt,Rough_asphalt_3,37,100.0,0.4616773512981492,0.020624429392014164,0.21718476887001928,0.5956499961251199,97.2972972972973,6.421779897667416,1.1804794776864997,0.7853399180644981,97.2972972972973,6.391508316604008,1.1753084938490284,0.7855482116837631,97.2972972972973,14.989068118962189,7.6819233264381985,0.744725335142475,91.8918918918919
Rough_asphalt,Rough_asphalt_4,37,97.2972972972973,0.5538155570573615,-0.009753460844992509,0.14043481218190526,0.5815368152724304,91.8918918918919,4.497761176555008,2.6442071866919257,0.6848188757582432,91.8918918918919,4.477709127506778,2.630451988952266,0.6847116239560286,91.8918918918919,10.41695020523161,20.187089567434526,0.4617781858255683,97.2972972972973
