"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.148115396E-1,4.550572869E1,9.157042384E0,1.356486397E2,0.000000000E0,3.269531250E2,3.758008095E0,3.000000000E0
1.114817858E0,4.550572846E1,9.157040371E0,1.356583443E2,0.000000000E0,3.269531250E2,3.711848688E0,3.000000000E0
2.114817381E0,4.550572764E1,9.157041135E0,1.357034492E2,0.000000000E0,3.269531250E2,3.675448248E0,3.000000000E0
3.114816904E0,4.550572779E1,9.157041225E0,1.357034493E2,0.000000000E0,NaN,2.907827418E0,4.029364438E0
4.114826679E0,4.550572779E1,9.157041225E0,1.357034493E2,0.000000000E0,NaN,2.907843034E0,4.029364438E0
5.114821196E0,4.550572905E1,9.157041261E0,1.356303902E2,3.400000036E-1,3.269531233E2,2.907417818E0,4.029364438E0
6.114822149E0,4.550573062E1,9.157040527E0,1.357024117E2,3.400000036E-1,3.304687485E2,2.902748095E0,4.029364438E0
7.114831448E0,4.550574039E1,9.157032086E0,1.360136912E2,1.509999990E0,3.269531175E2,2.932851858E0,4.029364438E0
8.114830256E0,4.550575549E1,9.157018638E0,1.359874462E2,2.039999962E0,3.276562400E2,3.095404345E0,4.029364438E0
9.114827633E0,4.550577133E1,9.157004889E0,1.360484814E2,2.039999962E0,3.280078026E2,3.320811805E0,4.029364438E0
1.011483359E1,4.550580766E1,9.156974710E0,1.361892284E2,2.039999962E0,3.283593652E2,4.748651530E0,4.029364438E0
1.111483967E1,4.550582873E1,9.156956014E0,1.363805127E2,2.359999895E0,3.297656142E2,4.748651530E0,4.029364438E0
1.211484492E1,4.550584386E1,9.156937393E0,1.362639355E2,2.210000038E0,3.251953010E2,4.748651530E0,4.029364438E0
1.311485088E1,4.550585980E1,9.156918852E0,1.363719067E2,2.250000000E0,3.248437382E2,4.748651530E0,4.029364438E0
1.411485589E1,4.550587449E1,9.156902273E0,1.359873242E2,2.210000038E0,3.251953010E2,4.748651530E0,4.029364438E0
1.511486280E1,4.550589019E1,9.156880670E0,1.362668652E2,2.250000000E0,3.230859252E2,4.748651530E0,4.029364438E0
1.611486912E1,4.550591270E1,9.156853490E0,1.359898268E2,2.700000048E0,3.227343601E2,4.748651530E0,4.029364438E0
1.711487460E1,4.550593184E1,9.156832568E0,1.361721999E2,2.700000048E0,3.255468611E2,4.748651530E0,4.029364438E0
1.811488104E1,4.550594776E1,9.156813912E0,1.360828443E2,2.470000029E0,3.237890492E2,4.748651530E0,4.029364438E0
1.911488760E1,4.550596520E1,9.156793289E0,1.362467847E2,2.470000029E0,3.216796735E2,4.748651530E0,4.029364438E0
2.011489344E1,4.550598023E1,9.156780261E0,1.360702709E2,2.109999895E0,3.255468641E2,4.748651530E0,4.029364438E0
