"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.779269289086396E9,"2026-05-20 11:28:09.086 UTC+02:00"
"PAUSE",4.989981554169208E1,1.779269338986315E9,"2026-05-20 11:28:58.986 UTC+02:00"
