"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.779271162994985E9,"2026-05-20 11:59:22.995 UTC+02:00"
"PAUSE",4.380836966633797E1,1.779271206803078E9,"2026-05-20 12:00:06.803 UTC+02:00"
