"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.778938279966000E9,"2026-05-16 15:31:19.966 UTC+02:00"
"PAUSE",3.000706462498056E1,1.778938309973000E9,"2026-05-16 15:31:49.973 UTC+02:00"
