"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.778934341571000E9,"2026-05-16 14:25:41.571 UTC+02:00"
"PAUSE",3.000781866663601E1,1.778934371579000E9,"2026-05-16 14:26:11.579 UTC+02:00"
