"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.778934208164000E9,"2026-05-16 14:23:28.164 UTC+02:00"
"PAUSE",3.000768129166681E1,1.778934238172000E9,"2026-05-16 14:23:58.172 UTC+02:00"
