"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.147482084E-1,-1.840566809E0,-4.241216770E0,-1.160961744E0,4.766910744E0
7.247182084E-1,-2.141197893E0,-3.570720352E0,1.740820180E0,4.512784855E0
7.346882084E-1,-2.314609060E0,1.407929130E0,2.540007091E-1,2.721065214E0
7.446582083E-1,-2.688761426E0,1.569294448E0,5.762601764E0,6.549786421E0
7.546282083E-1,-3.703345728E0,3.107043752E-1,2.384287552E0,4.415442664E0
7.645982084E-1,-1.496768801E-1,-1.238151715E0,6.634519851E-1,1.412654018E0
7.745682084E-1,-1.753015133E0,-2.772071385E0,-2.354281980E-1,3.288292605E0
7.845382084E-1,-1.995440256E0,-5.308125758E-1,-1.946778411E0,2.837867155E0
7.945082083E-1,4.677786409E-1,1.365775090E-1,-1.586916786E0,1.660052758E0
8.044782084E-1,-4.001737548E-1,-3.475023066E0,-8.854163843E-1,3.608307986E0
8.144482084E-1,-1.317380025E0,-2.262117874E0,-2.769969311E0,3.811219935E0
8.244182084E-1,-1.399739373E0,-2.113188415E0,4.196481185E0,4.902579925E0
8.343882083E-1,-9.785369481E-1,-2.043663266E-1,3.175433956E0,3.329066080E0
8.443582084E-1,-1.012567085E0,1.924505490E0,-1.159065492E0,2.464233410E0
8.543282084E-1,-4.082165268E-1,-3.970762289E-1,2.171859961E0,2.245280819E0
8.642982084E-1,1.612743938E-1,3.704026929E-1,2.419157422E0,2.452657787E0
8.742682083E-1,-6.925169592E-1,2.466155587E0,2.729734036E0,3.743387640E0
8.842382084E-1,6.341026901E-1,1.696462910E0,-3.938954605E0,4.335370342E0
8.942082084E-1,1.606503936E0,-1.408020346E0,-5.149000216E0,5.574547463E0
9.041792084E-1,3.742526458E-1,-3.193588976E0,-3.065743114E0,4.442730740E0
9.141492083E-1,-1.525639574E0,-1.813862429E0,2.597959430E0,3.516683981E0
9.241192084E-1,5.737684878E-1,3.407615780E0,1.856762865E0,3.922833659E0
9.340892084E-1,1.569418117E0,4.100094220E0,1.746093199E0,4.724689122E0
9.440592084E-1,2.649946147E0,-7.622933185E-1,-1.876418865E0,3.335304101E0
9.540292083E-1,8.379902029E-1,1.552321150E0,-3.823077993E0,4.210445805E0
9.639992084E-1,1.130919262E0,1.961808387E0,-2.943410591E0,3.713668864E0
9.739692084E-1,1.651207653E-1,1.314000919E0,-1.280925559E0,1.842453140E0
9.839392084E-1,1.272924047E-1,6.636963987E-1,2.049222214E0,2.157778475E0
9.939092083E-1,9.344217525E-1,5.800338525E-1,3.718067263E0,3.877319622E0
1.003879208E0,6.322505846E-1,3.722828066E0,-2.266318222E0,4.404019515E0
1.013848750E0,7.005665287E-1,2.754570377E0,-3.271307827E0,4.333578928E0
1.023818750E0,9.406217015E-1,-1.247804883E0,9.519325554E-1,1.829743644E0
1.033788750E0,1.771303470E0,-2.576860044E0,3.358460577E0,4.588788632E0
1.043758750E0,4.267048015E-1,2.144046803E0,1.631653249E0,2.727875731E0
1.053728750E0,-7.936661156E-1,3.116101089E0,-1.442719771E0,3.524405232E0
1.063698750E0,-9.527114777E-1,-1.376457953E-1,-2.080369747E0,2.292279174E0
1.073669750E0,8.498755458E-1,-2.540526323E0,1.457015043E-1,2.682869988E0
1.083639750E0,9.537435843E-1,-2.807012592E0,3.406944519E-1,2.984127884E0
1.093609750E0,6.731714462E-1,1.122592315E-1,1.021544243E0,1.228541644E0
1.103579750E0,4.368287803E-1,-8.916807988E-1,3.232412149E0,3.381479311E0
1.113549750E0,-3.455649998E-1,-2.162947927E0,1.804795151E0,2.838141019E0
1.123519750E0,3.454589460E-1,-1.946055695E0,2.966634563E0,3.564743368E0
1.133489750E0,1.242916465E0,-1.295774271E0,-6.211011869E-1,1.899904994E0
1.143459750E0,-9.120859735E-1,6.141535252E-2,-4.887763578E0,4.972515003E0
1.153429750E0,-1.927985168E0,1.141718557E-1,-3.503965614E0,4.000992008E0
1.163399750E0,-1.215923525E0,-2.225149730E0,-9.472296399E-1,2.706844165E0
1.173369750E0,-2.007543846E0,-3.404066227E0,4.741559798E0,6.172543113E0
1.183339750E0,1.687164375E-1,-1.817394732E0,4.362094797E0,4.728557906E0
1.193309750E0,7.054382460E-2,2.541216002E0,-2.385627149E0,3.486254738E0
1.203279750E0,-1.695609509E0,8.901505825E-1,-3.843426304E0,4.294110550E0
1.213249750E0,7.897693849E-1,-1.387473523E0,-1.580153897E0,2.246264632E0
1.223219750E0,7.910712674E-1,-2.724215141E0,4.968687873E0,5.721450958E0
1.233189750E0,1.001834448E0,-1.387208059E-1,6.492249493E0,6.570556993E0
1.243159750E0,2.163929163E-1,9.913658854E-1,1.000657988E0,1.425113547E0
1.253130750E0,-5.911994762E-1,1.403462150E0,-3.445233842E0,3.766810195E0
