Time (s),Latitude (°),Longitude (°),Height (m),Velocity (m/s),Direction (°),Horizontal Accuracy (m),Vertical Accuracy (m)
0.028742166,45.1157844,9.2118916,,,,400.0,0.0
0.877572,45.1157844,9.2118916,,,,405.9360046,0.0
1.046742166,45.08290333,9.200945,62.53954522,0.1194155589,309.1099854,3.799999952,7.300000191
1.815742166,45.082905,9.200943333,62.43953641,0.05816360936,296.4400024,2.099999905,7.199999809
2.315742166,45.0829,9.200953333,62.03957423,0.03963360935,342.5700073,1.799999952,7.400000095
2.815742166,45.08289833,9.200956667,61.63958683,0.05456055701,323.7099915,1.600000024,7.599999905
3.315742166,45.08289833,9.200958333,61.13959062,0.1173566654,347.1600037,1.5,8.199999809
4.315742166,45.08289833,9.200958333,61.13959062,0.09213528037,350.3200073,1.399999976,8.699999809
5.815742166,45.08289833,9.200958333,61.13959062,0.04117777944,310.1000061,1.399999976,7.800000191
6.815742166,45.0829,9.20096,60.53958938,0.02161833271,321.3800049,1.399999976,7.300000191
7.815742166,45.0829,9.20096,60.53958938,0.04272194579,305.4400024,1.299999952,7.099999905
8.815742166,45.08290167,9.200956667,60.63957678,0.0272802785,300.9400024,1.299999952,6.900000095
9.815742166,45.08290333,9.200955,60.83956796,0.008235555142,225.6399994,1.299999952,6.599999905
10.81574217,45.08290833,9.200955,61.03955288,0.4061158299,21.52000046,1.200000048,6.5
11.81574217,45.08292,9.200958333,61.23952526,1.116947174,20.20000076,1.299999952,6.599999905
12.81574217,45.08293667,9.200963333,61.63948634,2.093889952,4.539999962,1.399999976,6.5
13.81574217,45.08296167,9.200966667,62.0394185,2.518021107,7.5,1.5,6.300000191
14.81574217,45.08298667,9.200971667,62.33935445,2.7069242,15.42000008,1.5,6.300000191
15.81574217,45.08301333,9.200981667,62.53929673,2.852075815,15.27999973,1.5,6.400000095
16.81574217,45.08304,9.200993333,62.7392428,3.062597275,20.86000061,1.5,6.400000095
17.81574217,45.08307,9.201,62.93916745,3.072891712,10.23999977,1.600000024,6.300000191
