"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.779271003074408E9,"2026-05-20 11:56:43.074 UTC+02:00"
"PAUSE",4.183251645835116E1,1.779271044906804E9,"2026-05-20 11:57:24.907 UTC+02:00"
