"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.778937070886000E9,"2026-05-16 15:11:10.886 UTC+02:00"
"PAUSE",3.720949625014328E0,1.778937074607000E9,"2026-05-16 15:11:14.607 UTC+02:00"
