Time (s),Latitude (°),Longitude (°),Height (m),Velocity (m/s),Direction (°),Horizontal Accuracy (m),Vertical Accuracy (m)
0.542892693,45.08115167,9.200785,63.54446558,0.01132388879,167.7899933,1.899999976,11.10000038
1.042892693,45.08115167,9.200786667,63.54446937,0.03397166729,340.0799866,1.899999976,11.0
1.655892693,45.08115167,9.200786667,63.54446937,0.05559,298.0400085,1.700000048,10.89999962
2.155892693,45.08115167,9.200781667,64.14445799,0.04272194579,284.1199951,1.600000024,11.19999981
2.655892693,45.08115167,9.200778333,64.44445041,0.01183861122,177.1199951,1.5,11.80000019
3.155892693,45.08115167,9.200778333,64.44445041,0.02676555514,213.0299988,1.399999976,12.10000038
4.155892693,45.08115167,9.200778333,64.44445041,0.03139805421,246.3699951,1.399999976,11.60000038
5.655892693,45.08115167,9.200778333,64.44445041,0.04786916822,184.3300018,1.399999976,9.0
6.655892693,45.08115167,9.200778333,64.44445041,0.0,184.3300018,1.399999976,8.800000191
7.655892693,45.08115167,9.200778333,64.44445041,0.0,184.3300018,1.299999952,8.399999619
8.655892693,45.08113667,9.200773333,64.64448428,0.0,184.3300018,1.299999952,8.5
9.655892693,45.081135,9.200775,64.6444931,0.05095750093,139.8899994,1.299999952,8.0
10.65589269,45.08113167,9.200776667,64.84450695,0.02625083365,203.8399963,1.299999952,7.599999905
11.65589269,45.08112833,9.200778333,64.94452079,0.05713416636,164.3600006,1.299999952,7.599999905
12.65589269,45.08112333,9.200776667,65.04453208,0.7190669179,213.2299957,1.200000048,7.5
13.65589269,45.08111167,9.20077,65.34455211,1.610565782,206.4199982,1.299999952,7.599999905
14.65589269,45.08109667,9.200765,65.44458598,2.07175684,199.0299988,1.5,7.400000095
15.65589269,45.081085,9.200765,65.64462117,1.967783093,195.1000061,1.5,7.699999809
16.65589269,45.08106833,9.200753333,65.24464489,2.126832247,203.8999939,1.600000024,7.900000095
17.65589269,45.08104667,9.200741667,65.2446837,2.668834686,189.8500061,1.700000048,7.800000191
18.65589269,45.08102167,9.20074,65.24475532,2.552507401,189.1300049,1.700000048,8.100000381
19.65589269,45.08099667,9.200735,65.34481935,1.663582206,188.8300018,1.700000048,8.300000191
20.65589269,45.08097167,9.200726667,65.1448758,1.932267189,184.1699982,1.700000048,8.5
21.65589269,45.08094667,9.20072,64.74493604,2.208158255,187.3099976,1.600000024,8.199999809
22.65589269,45.08092167,9.200725,63.74502283,2.417135477,180.6499939,1.600000024,7.900000095
23.65589269,45.080895,9.200721667,63.14509569,2.540154219,184.1000061,1.600000024,8.0
24.65589269,45.08086667,9.200721667,62.94518116,2.624053955,181.7599945,1.600000024,7.800000191
25.65589269,45.08084167,9.20072,62.74525278,2.682732105,180.6900024,1.600000024,7.699999809
26.65589269,45.08082,9.200715,63.14530675,2.676555634,186.1499939,1.600000024,7.699999809
27.65589269,45.08080333,9.200711667,63.44534944,2.580817223,185.6000061,1.600000024,7.699999809
28.65589269,45.08078833,9.200715,63.44540228,2.456769228,179.5299988,1.5,8.0
29.65589269,45.08078,9.200715,63.14542741,2.24985075,174.6699982,1.5,8.100000381
30.65589269,45.08077667,9.200716667,63.24544126,1.984254122,120.8700027,1.5,7.800000191
31.65589269,45.08077667,9.200716667,63.24544126,1.704245329,126.0899963,1.399999976,7.699999809
32.65589269,45.08077667,9.200716667,63.24544126,1.425265789,9.369999886,1.299999952,6.800000191
33.65589269,45.08077667,9.200716667,63.24544126,1.143712759,11.23999977,1.299999952,6.699999809
34.65589269,45.08077667,9.20072,63.24544885,0.8539241552,345.1099854,1.200000048,6.699999809
35.65589269,45.08077667,9.20072,63.24544885,0.0,345.1099854,1.200000048,6.599999905
36.65589269,45.080775,9.20072,63.44545388,0.0,103.0500031,1.200000048,6.599999905
