"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.778934481059000E9,"2026-05-16 14:28:01.059 UTC+02:00"
"PAUSE",3.000729412504006E1,1.778934511066000E9,"2026-05-16 14:28:31.066 UTC+02:00"
